,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Treasury Shares Number,46968.0,113272.0,73613.0,87608.0
Ordinary Shares Number,119096814.0,113424417.0,113173576.0,112926920.0
Share Issued,119143782.0,113537689.0,113247189.0,113014528.0
Net Debt,9423260000.0,9020167000.0,8127859000.0,7345766000.0
Total Debt,11048342000.0,10303194000.0,8877148000.0,8184579000.0
Tangible Book Value,6163001000.0,5910554000.0,5789767000.0,5632507000.0
Invested Capital,16181409000.0,15202786000.0,14181338000.0,13261935000.0
Working Capital,-1154393000.0,-962380000.0,-11587000.0,-205769000.0
Net Tangible Assets,6163001000.0,5910554000.0,5789767000.0,5632507000.0
Capital Lease Obligations,1621244000.0,1278072000.0,744457000.0,828844000.0
Common Stock Equity,6754311000.0,6177664000.0,6048647000.0,5906200000.0
Total Capitalization,14812959000.0,13718286000.0,13789933000.0,12819935000.0
Total Equity Gross Minority Interest,6857478000.0,6284862000.0,6159876000.0,6021460000.0
Minority Interest,103167000.0,107198000.0,111229000.0,115260000.0
Stockholders Equity,6754311000.0,6177664000.0,6048647000.0,5906200000.0
Gains Losses Not Affecting Retained Earnings,-30942000.0,-33144000.0,-31435000.0,-54861000.0
Other Equity Adjustments,-30942000.0,-33144000.0,-31435000.0,-54861000.0
Treasury Stock,3323000.0,8185000.0,5005000.0,6401000.0
Retained Earnings,3666959000.0,3466317000.0,3360347000.0,3264719000.0
Capital Stock,3121617000.0,2752676000.0,2724740000.0,2702743000.0
Common Stock,3121617000.0,2752676000.0,2724740000.0,2702743000.0
Total Liabilities Net Minority Interest,19245282000.0,18376291000.0,16563529000.0,15981762000.0
Total Non Current Liabilities Net Minority Interest,16401485000.0,15486944000.0,14801388000.0,14224893000.0
Other Non Current Liabilities,242320000.0,251469000.0,247400000.0,232914000.0
Derivative Product Liabilities,9446000.0,42975000.0,4749000.0,0.0
Employee Benefits,139317000.0,112702000.0,116286000.0,152865000.0
Non Current Pension And Other Postretirement Benefit Plans,139317000.0,112702000.0,116286000.0,152865000.0
Non Current Deferred Liabilities,3307539000.0,3241664000.0,3025859000.0,2760240000.0
Non Current Deferred Revenue,569343000.0,533580000.0,422103000.0,257151000.0
Non Current Deferred Taxes Liabilities,2738196000.0,2708084000.0,2603756000.0,2503089000.0
Long Term Debt And Capital Lease Obligation,9579525000.0,8750811000.0,8380533000.0,7642136000.0
Long Term Capital Lease Obligation,1520877000.0,1210189000.0,639247000.0,728401000.0
Long Term Debt,8058648000.0,7540622000.0,7741286000.0,6913735000.0
Long Term Provisions,1268060000.0,1121458000.0,964785000.0,937525000.0
Current Liabilities,2843797000.0,2889347000.0,1762141000.0,1756869000.0
Other Current Liabilities,430946000.0,484360000.0,457548000.0,452612000.0
Current Deferred Liabilities,44345000.0,42037000.0,41769000.0,42293000.0
Current Deferred Revenue,44345000.0,42037000.0,41769000.0,42293000.0
Current Debt And Capital Lease Obligation,1468817000.0,1552383000.0,496615000.0,542443000.0
Current Capital Lease Obligation,100367000.0,67883000.0,105210000.0,100443000.0
Current Debt,1368450000.0,1484500000.0,391405000.0,442000000.0
Other Current Borrowings,1368450000.0,1484500000.0,391405000.0,442000000.0
Current Provisions,50009000.0,28550000.0,12232000.0,4473000.0
Payables And Accrued Expenses,849680000.0,782017000.0,753977000.0,715048000.0
Current Accrued Expenses,81799000.0,72916000.0,61217000.0,57332000.0
Interest Payable,81799000.0,72916000.0,61217000.0,57332000.0
Payables,767881000.0,709101000.0,692760000.0,657716000.0
Dividends Payable,106592000.0,99813000.0,97895000.0,95988000.0
Total Tax Payable,175863000.0,166833000.0,164440000.0,168645000.0
Accounts Payable,485426000.0,442455000.0,430425000.0,393083000.0
Total Assets,26102760000.0,24661153000.0,22723405000.0,22003222000.0
Total Non Current Assets,24413356000.0,22734186000.0,20972851000.0,20452122000.0
Other Non Current Assets,115095000.0,102845000.0,125672000.0,97884000.0
Defined Pension Benefit,342102000.0,323438000.0,396599000.0,545723000.0
Non Current Deferred Assets,66126000.0,63465000.0,46282000.0,37962000.0
Financial Assets,5980000.0,0.0,44394000.0,46908000.0
Investments And Advances,1691202000.0,1564027000.0,1420641000.0,1653167000.0
Other Investments,1691202000.0,1564027000.0,1420641000.0,1653167000.0
Goodwill And Other Intangible Assets,591310000.0,267110000.0,258880000.0,273693000.0
Net PPE,20212052000.0,19023022000.0,17397162000.0,16603798000.0
Accumulated Depreciation,-9412214000.0,-8790738000.0,-8316789000.0,-7894609000.0
Gross PPE,29624266000.0,27813760000.0,25713951000.0,24498407000.0
Construction In Progress,1592659000.0,1724004000.0,1882791000.0,1329478000.0
Other Properties,2170657000.0,1878589000.0,1379014000.0,1480268000.0
Current Assets,1689404000.0,1926967000.0,1750554000.0,1551100000.0
Other Current Assets,208287000.0,263979000.0,138409000.0,214272000.0
Hedging Assets Current,10578000.0,6808000.0,87835000.0,63481000.0
Assets Held For Sale Current,0.0,35139000.0,0.0,
Current Deferred Assets,287597000.0,463195000.0,460561000.0,388148000.0
Inventory,501442000.0,493547000.0,450636000.0,367167000.0
Receivables,677662000.0,659344000.0,608281000.0,508063000.0
Receivables Adjustments Allowances,-24849000.0,-22433000.0,-23778000.0,-25354000.0
Taxes Receivable,0.0,332000.0,14086000.0,7514000.0
Accounts Receivable,525608000.0,513892000.0,453209000.0,391923000.0
Cash Cash Equivalents And Short Term Investments,3838000.0,4955000.0,4832000.0,9969000.0
Cash And Cash Equivalents,3838000.0,4955000.0,4832000.0,9969000.0
