,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Ordinary Shares Number,308293765.0,307158272.0,306176864.0,309744953.0
Share Issued,308293765.0,307158272.0,306176864.0,309744953.0
Net Debt,7407000000.0,6925000000.0,5795000000.0,5745000000.0
Total Debt,9460000000.0,9598000000.0,9150000000.0,9141000000.0
Tangible Book Value,10856000000.0,8626000000.0,7495000000.0,5940000000.0
Invested Capital,19794000000.0,17599000000.0,16136000000.0,14758000000.0
Working Capital,347000000.0,160000000.0,1535000000.0,1282000000.0
Net Tangible Assets,10856000000.0,8626000000.0,7495000000.0,5940000000.0
Capital Lease Obligations,882000000.0,985000000.0,869000000.0,683000000.0
Common Stock Equity,11216000000.0,8986000000.0,7855000000.0,6300000000.0
Total Capitalization,19771000000.0,17288000000.0,16133000000.0,14241000000.0
Total Equity Gross Minority Interest,12003000000.0,9602000000.0,8496000000.0,7026000000.0
Minority Interest,787000000.0,616000000.0,641000000.0,726000000.0
Stockholders Equity,11216000000.0,8986000000.0,7855000000.0,6300000000.0
Gains Losses Not Affecting Retained Earnings,-208000000.0,-134000000.0,-131000000.0,-406000000.0
Other Equity Adjustments,-208000000.0,-134000000.0,-131000000.0,-406000000.0
Retained Earnings,4500000000.0,2318000000.0,1474000000.0,379000000.0
Additional Paid In Capital,6616000000.0,6495000000.0,6206000000.0,6017000000.0
Capital Stock,308000000.0,307000000.0,306000000.0,310000000.0
Common Stock,308000000.0,307000000.0,306000000.0,310000000.0
Total Liabilities Net Minority Interest,14548000000.0,14405000000.0,13199000000.0,13489000000.0
Total Non Current Liabilities Net Minority Interest,11722000000.0,11135000000.0,10803000000.0,10425000000.0
Other Non Current Liabilities,470000000.0,424000000.0,425000000.0,502000000.0
Non Current Deferred Liabilities,784000000.0,608000000.0,418000000.0,383000000.0
Non Current Deferred Taxes Liabilities,784000000.0,608000000.0,418000000.0,383000000.0
Long Term Debt And Capital Lease Obligation,9091000000.0,8917000000.0,8926000000.0,8535000000.0
Long Term Capital Lease Obligation,536000000.0,615000000.0,648000000.0,594000000.0
Long Term Debt,8555000000.0,8302000000.0,8278000000.0,7941000000.0
Long Term Provisions,1377000000.0,1186000000.0,1034000000.0,1005000000.0
Current Liabilities,2826000000.0,3270000000.0,2396000000.0,3064000000.0
Current Debt And Capital Lease Obligation,369000000.0,681000000.0,224000000.0,606000000.0
Current Capital Lease Obligation,346000000.0,370000000.0,221000000.0,89000000.0
Current Debt,23000000.0,311000000.0,3000000.0,517000000.0
Other Current Borrowings,23000000.0,311000000.0,3000000.0,517000000.0
Pensionand Other Post Retirement Benefit Plans Current,199000000.0,193000000.0,132000000.0,124000000.0
Current Provisions,81000000.0,160000000.0,207000000.0,185000000.0
Payables And Accrued Expenses,2177000000.0,2236000000.0,1833000000.0,2149000000.0
Current Accrued Expenses,1662000000.0,1749000000.0,1501000000.0,1401000000.0
Interest Payable,141000000.0,144000000.0,143000000.0,138000000.0
Payables,515000000.0,487000000.0,332000000.0,748000000.0
Total Tax Payable,98000000.0,85000000.0,47000000.0,528000000.0
Accounts Payable,417000000.0,402000000.0,285000000.0,220000000.0
Total Assets,26551000000.0,24007000000.0,21695000000.0,20515000000.0
Total Non Current Assets,23378000000.0,20577000000.0,17764000000.0,16169000000.0
Other Non Current Assets,1121000000.0,952000000.0,829000000.0,651000000.0
Defined Pension Benefit,655000000.0,685000000.0,648000000.0,409000000.0
Non Current Deferred Assets,579000000.0,320000000.0,133000000.0,71000000.0
Non Current Deferred Taxes Assets,579000000.0,320000000.0,133000000.0,71000000.0
Goodwill And Other Intangible Assets,360000000.0,360000000.0,360000000.0,360000000.0
Goodwill,360000000.0,360000000.0,360000000.0,360000000.0
Net PPE,20663000000.0,18260000000.0,15794000000.0,14678000000.0
Accumulated Depreciation,-21102000000.0,-19339000000.0,-17494000000.0,-16996000000.0
Gross PPE,41765000000.0,37599000000.0,33288000000.0,31674000000.0
Other Properties,772000000.0,858000000.0,726000000.0,526000000.0
Current Assets,3173000000.0,3430000000.0,3931000000.0,4346000000.0
Other Current Assets,113000000.0,108000000.0,66000000.0,199000000.0
Inventory,419000000.0,304000000.0,217000000.0,223000000.0
Finished Goods,95000000.0,72000000.0,63000000.0,52000000.0
Raw Materials,324000000.0,232000000.0,154000000.0,171000000.0
Receivables,1470000000.0,1330000000.0,1162000000.0,1211000000.0
Accounts Receivable,1470000000.0,1330000000.0,1162000000.0,1211000000.0
Cash Cash Equivalents And Short Term Investments,1171000000.0,1688000000.0,2486000000.0,2713000000.0
Cash And Cash Equivalents,1171000000.0,1688000000.0,2486000000.0,2713000000.0
