,2024-04-30,2023-04-30,2022-04-30,2021-04-30
Ordinary Shares Number,1311337531.0,1330809036.0,1330743395.0,1345400671.0
Share Issued,1311337531.0,1330809036.0,1330743395.0,1345400671.0
Net Debt,23679000000.0,22757000000.0,20338000000.0,22725000000.0
Total Debt,25024000000.0,24364000000.0,24114000000.0,26389000000.0
Tangible Book Value,-3997000000.0,-4786000000.0,-3545000000.0,-8273000000.0
Invested Capital,75177000000.0,75783000000.0,76603000000.0,77746000000.0
Working Capital,11146000000.0,12624000000.0,10665000000.0,14039000000.0
Net Tangible Assets,-3997000000.0,-4786000000.0,-3545000000.0,-8273000000.0
Capital Lease Obligations,61000000.0,64000000.0,62000000.0,71000000.0
Common Stock Equity,50214000000.0,51483000000.0,52551000000.0,51428000000.0
Total Capitalization,74091000000.0,75770000000.0,72867000000.0,77744000000.0
Total Equity Gross Minority Interest,50420000000.0,51665000000.0,52722000000.0,51602000000.0
Minority Interest,206000000.0,182000000.0,171000000.0,174000000.0
Stockholders Equity,50214000000.0,51483000000.0,52551000000.0,51428000000.0
Gains Losses Not Affecting Retained Earnings,-3318000000.0,-3499000000.0,-2265000000.0,-3485000000.0
Other Equity Adjustments,-3318000000.0,-3499000000.0,-2265000000.0,-3485000000.0
Retained Earnings,30403000000.0,30392000000.0,30250000000.0,28594000000.0
Additional Paid In Capital,23129000000.0,24590000000.0,24566000000.0,26319000000.0
Capital Stock,0.0,0.0,0.0,0.0
Common Stock,0.0,0.0,0.0,0.0
Total Liabilities Net Minority Interest,39561000000.0,39283000000.0,38259000000.0,41481000000.0
Total Non Current Liabilities Net Minority Interest,28772000000.0,30232000000.0,25865000000.0,32972000000.0
Other Non Current Liabilities,1365000000.0,1727000000.0,1409000000.0,1758000000.0
Employee Benefits,1101000000.0,1093000000.0,1113000000.0,1557000000.0
Tradeand Other Payables Non Current,1859000000.0,2360000000.0,2087000000.0,2251000000.0
Non Current Deferred Liabilities,515000000.0,708000000.0,884000000.0,1028000000.0
Non Current Deferred Taxes Liabilities,515000000.0,708000000.0,884000000.0,1028000000.0
Long Term Debt And Capital Lease Obligation,23932000000.0,24344000000.0,20372000000.0,26378000000.0
Long Term Capital Lease Obligation,55000000.0,57000000.0,56000000.0,62000000.0
Long Term Debt,23877000000.0,24287000000.0,20316000000.0,26316000000.0
Current Liabilities,10789000000.0,9051000000.0,12394000000.0,8509000000.0
Other Current Liabilities,,-1000000.0,,
Current Debt And Capital Lease Obligation,1092000000.0,20000000.0,3742000000.0,11000000.0
Current Capital Lease Obligation,6000000.0,7000000.0,6000000.0,9000000.0
Current Debt,1086000000.0,13000000.0,3736000000.0,2000000.0
Other Current Borrowings,,13000000.0,3724000000.0,2000000.0
Line Of Credit,13000000.0,13000000.0,12000000.0,2000000.0
Commercial Paper,1073000000.0,0.0,,
Pensionand Other Post Retirement Benefit Plans Current,2375000000.0,1949000000.0,2121000000.0,2482000000.0
Payables And Accrued Expenses,7322000000.0,7083000000.0,6531000000.0,6016000000.0
Current Accrued Expenses,3582000000.0,3581000000.0,3551000000.0,3475000000.0
Payables,3740000000.0,3502000000.0,2980000000.0,2541000000.0
Total Tax Payable,1330000000.0,840000000.0,704000000.0,435000000.0
Income Tax Payable,1330000000.0,840000000.0,704000000.0,435000000.0
Accounts Payable,2410000000.0,2662000000.0,2276000000.0,2106000000.0
Total Assets,89981000000.0,90948000000.0,90981000000.0,93083000000.0
Total Non Current Assets,68046000000.0,69274000000.0,67920000000.0,70534000000.0
Other Non Current Assets,4047000000.0,3959000000.0,3008000000.0,2443000000.0
Non Current Accounts Receivable,3657000000.0,3477000000.0,3403000000.0,3169000000.0
Goodwill And Other Intangible Assets,54211000000.0,56269000000.0,56096000000.0,59701000000.0
Other Intangible Assets,13225000000.0,14844000000.0,15594000000.0,17740000000.0
Goodwill,40986000000.0,41425000000.0,40502000000.0,41961000000.0
Net PPE,6131000000.0,5569000000.0,5413000000.0,5221000000.0
Accumulated Depreciation,-7922000000.0,-8493000000.0,-7952000000.0,-7479000000.0
Gross PPE,14053000000.0,14062000000.0,13365000000.0,12700000000.0
Construction In Progress,2119000000.0,1754000000.0,1737000000.0,1498000000.0
Other Properties,6396000000.0,6707000000.0,6490000000.0,6308000000.0
Machinery Furniture Equipment,2872000000.0,2952000000.0,2617000000.0,8654000000.0
Buildings And Improvements,2506000000.0,2487000000.0,2351000000.0,2370000000.0
Land And Improvements,159000000.0,162000000.0,170000000.0,178000000.0
Properties,0.0,0.0,0.0,0.0
Current Assets,21935000000.0,21675000000.0,23059000000.0,22548000000.0
Other Current Assets,2585000000.0,2425000000.0,2319000000.0,1956000000.0
Inventory,5217000000.0,5293000000.0,4616000000.0,4313000000.0
Other Inventories,,1000000.0,,
Finished Goods,3668000000.0,3440000000.0,3070000000.0,2906000000.0
Work In Process,642000000.0,789000000.0,682000000.0,611000000.0
Raw Materials,907000000.0,1063000000.0,864000000.0,796000000.0
Receivables,6128000000.0,5998000000.0,5551000000.0,5462000000.0
Accounts Receivable,6128000000.0,5998000000.0,5551000000.0,5462000000.0
Allowance For Doubtful Accounts Receivable,-173000000.0,-176000000.0,-230000000.0,-241000000.0
Gross Accounts Receivable,6301000000.0,6174000000.0,5781000000.0,5703000000.0
Cash Cash Equivalents And Short Term Investments,8005000000.0,7959000000.0,10573000000.0,10817000000.0
Other Short Term Investments,6721000000.0,6416000000.0,6859000000.0,7224000000.0
Cash And Cash Equivalents,1284000000.0,1543000000.0,3714000000.0,3593000000.0
