,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Treasury Shares Number,,0.0,,
Ordinary Shares Number,495000000.0,498000000.0,509000000.0,525000000.0
Share Issued,495000000.0,498000000.0,509000000.0,525000000.0
Total Debt,1480000000.0,1315000000.0,1534000000.0,1642000000.0
Tangible Book Value,5856000000.0,5993000000.0,5431000000.0,5153000000.0
Invested Capital,15316000000.0,13866000000.0,12955000000.0,12655000000.0
Working Capital,3919000000.0,4173000000.0,3919000000.0,3813000000.0
Net Tangible Assets,5856000000.0,5993000000.0,5431000000.0,5153000000.0
Capital Lease Obligations,572000000.0,676000000.0,888000000.0,978000000.0
Common Stock Equity,14408000000.0,13227000000.0,12309000000.0,11991000000.0
Total Capitalization,15283000000.0,13833000000.0,12947000000.0,12617000000.0
Total Equity Gross Minority Interest,14408000000.0,13227000000.0,12309000000.0,11991000000.0
Stockholders Equity,14408000000.0,13227000000.0,12309000000.0,11991000000.0
Gains Losses Not Affecting Retained Earnings,-296000000.0,-94000000.0,-299000000.0,37000000.0
Other Equity Adjustments,-296000000.0,-94000000.0,-299000000.0,37000000.0
Retained Earnings,14686000000.0,13301000000.0,12588000000.0,11922000000.0
Additional Paid In Capital,13000000.0,15000000.0,15000000.0,27000000.0
Capital Stock,5000000.0,5000000.0,5000000.0,5000000.0
Common Stock,5000000.0,5000000.0,5000000.0,5000000.0
Preferred Stock,0.0,0.0,0.0,0.0
Total Liabilities Net Minority Interest,5558000000.0,5256000000.0,5543000000.0,5861000000.0
Total Non Current Liabilities Net Minority Interest,1973000000.0,1923000000.0,2196000000.0,2332000000.0
Other Non Current Liabilities,494000000.0,369000000.0,362000000.0,287000000.0
Tradeand Other Payables Non Current,0.0,157000000.0,283000000.0,378000000.0
Non Current Deferred Liabilities,184000000.0,268000000.0,199000000.0,258000000.0
Non Current Deferred Revenue,30000000.0,42000000.0,19000000.0,40000000.0
Non Current Deferred Taxes Liabilities,154000000.0,226000000.0,180000000.0,218000000.0
Long Term Debt And Capital Lease Obligation,1295000000.0,1129000000.0,1352000000.0,1409000000.0
Long Term Capital Lease Obligation,420000000.0,523000000.0,714000000.0,783000000.0
Long Term Debt,875000000.0,606000000.0,638000000.0,626000000.0
Current Liabilities,3585000000.0,3333000000.0,3347000000.0,3529000000.0
Other Current Liabilities,593000000.0,500000000.0,357000000.0,395000000.0
Current Deferred Liabilities,450000000.0,385000000.0,398000000.0,403000000.0
Current Deferred Revenue,450000000.0,385000000.0,398000000.0,403000000.0
Current Debt And Capital Lease Obligation,185000000.0,186000000.0,182000000.0,233000000.0
Current Capital Lease Obligation,152000000.0,153000000.0,174000000.0,195000000.0
Current Debt,33000000.0,33000000.0,8000000.0,38000000.0
Other Current Borrowings,33000000.0,33000000.0,8000000.0,38000000.0
Pensionand Other Post Retirement Benefit Plans Current,1499000000.0,1511000000.0,1446000000.0,1601000000.0
Payables And Accrued Expenses,858000000.0,751000000.0,964000000.0,897000000.0
Current Accrued Expenses,418000000.0,387000000.0,387000000.0,462000000.0
Payables,440000000.0,364000000.0,577000000.0,435000000.0
Total Tax Payable,100000000.0,27000000.0,217000000.0,74000000.0
Income Tax Payable,100000000.0,27000000.0,217000000.0,74000000.0
Accounts Payable,340000000.0,337000000.0,360000000.0,361000000.0
Total Assets,19966000000.0,18483000000.0,17852000000.0,17852000000.0
Total Non Current Assets,12462000000.0,10977000000.0,10586000000.0,10510000000.0
Other Non Current Assets,1026000000.0,1011000000.0,1019000000.0,1098000000.0
Non Current Deferred Assets,1248000000.0,993000000.0,642000000.0,404000000.0
Non Current Deferred Taxes Assets,1248000000.0,993000000.0,642000000.0,404000000.0
Investments And Advances,90000000.0,80000000.0,70000000.0,66000000.0
Other Investments,90000000.0,80000000.0,70000000.0,66000000.0
Goodwill And Other Intangible Assets,8552000000.0,7234000000.0,6878000000.0,6838000000.0
Other Intangible Assets,1599000000.0,1149000000.0,1168000000.0,1218000000.0
Goodwill,6953000000.0,6085000000.0,5710000000.0,5620000000.0
Net PPE,1546000000.0,1659000000.0,1977000000.0,2104000000.0
Accumulated Depreciation,-2787000000.0,-2772000000.0,-2716000000.0,-2496000000.0
Gross PPE,4333000000.0,4431000000.0,4693000000.0,4600000000.0
Leases,373000000.0,422000000.0,398000000.0,431000000.0
Construction In Progress,115000000.0,88000000.0,111000000.0,116000000.0
Other Properties,552000000.0,611000000.0,876000000.0,933000000.0
Machinery Furniture Equipment,2551000000.0,2534000000.0,2530000000.0,2336000000.0
Buildings And Improvements,736000000.0,769000000.0,771000000.0,777000000.0
Land And Improvements,6000000.0,7000000.0,7000000.0,7000000.0
Properties,0.0,0.0,0.0,0.0
Current Assets,7504000000.0,7506000000.0,7266000000.0,7342000000.0
Other Current Assets,1202000000.0,1022000000.0,969000000.0,1066000000.0
Receivables,4059000000.0,3849000000.0,3796000000.0,3557000000.0
Accounts Receivable,4059000000.0,3849000000.0,3796000000.0,3557000000.0
Allowance For Doubtful Accounts Receivable,-26000000.0,-32000000.0,-43000000.0,-50000000.0
Gross Accounts Receivable,4085000000.0,3881000000.0,3839000000.0,3607000000.0
Cash Cash Equivalents And Short Term Investments,2243000000.0,2635000000.0,2501000000.0,2719000000.0
Other Short Term Investments,12000000.0,14000000.0,310000000.0,927000000.0
Cash And Cash Equivalents,2231000000.0,2621000000.0,2191000000.0,1792000000.0
