,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Treasury Shares Number,1500000.0,1200000.0,1000000.0,900000.0
Ordinary Shares Number,167100000.0,166200000.0,167500000.0,168700000.0
Share Issued,168600000.0,167400000.0,168500000.0,169600000.0
Net Debt,3895000000.0,4313000000.0,4689000000.0,3819000000.0
Total Debt,6551000000.0,6550000000.0,6551000000.0,6130000000.0
Tangible Book Value,-3072000000.0,-3932000000.0,-4538000000.0,-3710000000.0
Invested Capital,7700000000.0,6742000000.0,6130000000.0,5653000000.0
Working Capital,1424000000.0,-11000000.0,695000000.0,1349000000.0
Net Tangible Assets,-3072000000.0,-3932000000.0,-4538000000.0,-3710000000.0
Capital Lease Obligations,554000000.0,532000000.0,537000000.0,437000000.0
Common Stock Equity,1703000000.0,724000000.0,116000000.0,-40000000.0
Total Capitalization,7378000000.0,5429000000.0,6129000000.0,5648000000.0
Total Equity Gross Minority Interest,1719000000.0,739000000.0,131000000.0,-23000000.0
Minority Interest,16000000.0,15000000.0,15000000.0,17000000.0
Stockholders Equity,1703000000.0,724000000.0,116000000.0,-40000000.0
Gains Losses Not Affecting Retained Earnings,-2539000000.0,-2540000000.0,-2535000000.0,-2379000000.0
Other Equity Adjustments,-2539000000.0,-2540000000.0,-2535000000.0,-2379000000.0
Retained Earnings,2300000000.0,1640000000.0,1343000000.0,1350000000.0
Additional Paid In Capital,1940000000.0,1622000000.0,1306000000.0,987000000.0
Capital Stock,2000000.0,2000000.0,2000000.0,2000000.0
Common Stock,2000000.0,2000000.0,2000000.0,2000000.0
Preferred Stock,0.0,0.0,0.0,0.0
Total Liabilities Net Minority Interest,12876000000.0,12597000000.0,12683000000.0,12212000000.0
Total Non Current Liabilities Net Minority Interest,7821000000.0,6861000000.0,8123000000.0,8149000000.0
Other Non Current Liabilities,160000000.0,134000000.0,143000000.0,161000000.0
Liabilities Heldfor Sale Non Current,0.0,8000000.0,0.0,
Employee Benefits,768000000.0,939000000.0,1004000000.0,1390000000.0
Non Current Pension And Other Postretirement Benefit Plans,768000000.0,939000000.0,1004000000.0,1390000000.0
Non Current Deferred Liabilities,672000000.0,549000000.0,436000000.0,489000000.0
Non Current Deferred Revenue,496000000.0,424000000.0,363000000.0,306000000.0
Non Current Deferred Taxes Liabilities,87000000.0,55000000.0,73000000.0,183000000.0
Long Term Debt And Capital Lease Obligation,6102000000.0,5112000000.0,6432000000.0,6001000000.0
Long Term Capital Lease Obligation,427000000.0,407000000.0,419000000.0,313000000.0
Long Term Debt,5675000000.0,4705000000.0,6013000000.0,5688000000.0
Long Term Provisions,119000000.0,119000000.0,108000000.0,108000000.0
Current Liabilities,5055000000.0,5736000000.0,4560000000.0,4063000000.0
Other Current Liabilities,,1000000.0,,
Current Deferred Liabilities,2072000000.0,2037000000.0,1859000000.0,1650000000.0
Current Deferred Revenue,2072000000.0,2037000000.0,1859000000.0,1650000000.0
Current Debt And Capital Lease Obligation,449000000.0,1438000000.0,119000000.0,129000000.0
Current Capital Lease Obligation,127000000.0,125000000.0,118000000.0,124000000.0
Current Debt,322000000.0,1313000000.0,1000000.0,5000000.0
Other Current Borrowings,322000000.0,1313000000.0,1000000.0,5000000.0
Pensionand Other Post Retirement Benefit Plans Current,406000000.0,407000000.0,374000000.0,360000000.0
Current Provisions,97000000.0,89000000.0,78000000.0,102000000.0
Payables And Accrued Expenses,2031000000.0,1764000000.0,2130000000.0,1822000000.0
Current Accrued Expenses,454000000.0,349000000.0,408000000.0,419000000.0
Payables,1577000000.0,1415000000.0,1722000000.0,1403000000.0
Dividends Payable,182000000.0,163000000.0,148000000.0,134000000.0
Total Tax Payable,217000000.0,231000000.0,367000000.0,183000000.0
Accounts Payable,1178000000.0,1021000000.0,1207000000.0,1086000000.0
Total Assets,14595000000.0,13336000000.0,12814000000.0,12189000000.0
Total Non Current Assets,8116000000.0,7611000000.0,7559000000.0,6777000000.0
Other Non Current Assets,72000000.0,74000000.0,16000000.0,69000000.0
Defined Pension Benefit,162000000.0,98000000.0,164000000.0,365000000.0
Non Current Deferred Assets,1421000000.0,1181000000.0,1166000000.0,1040000000.0
Non Current Deferred Taxes Assets,1280000000.0,1062000000.0,1036000000.0,916000000.0
Investments And Advances,135000000.0,143000000.0,147000000.0,209000000.0
Other Investments,101000000.0,102000000.0,,
Investmentin Financial Assets,23000000.0,28000000.0,,
Available For Sale Securities,23000000.0,28000000.0,,
Long Term Equity Investment,11000000.0,13000000.0,,
