,2024-12-31,2023-12-31,2022-12-31,2020-12-31
Free Cash Flow,8000000.0,551000000.0,2302000000.0,22000000.0
Repurchase Of Capital Stock,0.0,-355000000.0,-1073000000.0,0.0
Repayment Of Debt,-787000000.0,-2175000000.0,-10354000000.0,-3471000000.0
Issuance Of Debt,767000000.0,1125000000.0,11183000000.0,3716000000.0
Issuance Of Capital Stock,,0.0,0.0,0.0
Capital Expenditure,-1557000000.0,-1829000000.0,-1823000000.0,-1142000000.0
Interest Paid Supplemental Data,,117000000.0,146000000.0,224000000.0
Income Tax Paid Supplemental Data,,132000000.0,193000000.0,0.0
End Cash Position,395000000.0,1153000000.0,192000000.0,279000000.0
Beginning Cash Position,1153000000.0,192000000.0,914000000.0,6000000.0
Changes In Cash,-758000000.0,961000000.0,-722000000.0,273000000.0
Financing Cash Flow,-419000000.0,-1892000000.0,-1446000000.0,101000000.0
Cash Flow From Continuing Financing Activities,-419000000.0,-1892000000.0,-1446000000.0,101000000.0
Net Other Financing Charges,-14000000.0,,-17000000.0,-122000000.0
Proceeds From Stock Option Exercised,3000000.0,0.0,27000000.0,0.0
Cash Dividends Paid,-388000000.0,-487000000.0,-1212000000.0,-22000000.0
Preferred Stock Dividend Paid,,,0.0,-22000000.0
Common Stock Dividend Paid,-388000000.0,-487000000.0,-1212000000.0,0.0
Net Common Stock Issuance,0.0,-355000000.0,-1073000000.0,0.0
Common Stock Payments,0.0,-355000000.0,-1073000000.0,0.0
Common Stock Issuance,,0.0,0.0,0.0
Net Issuance Payments Of Debt,-20000000.0,-1050000000.0,829000000.0,245000000.0
Net Short Term Debt Issuance,,,1050000000.0,399000000.0
Short Term Debt Payments,,,-550000000.0,-3317000000.0
Short Term Debt Issuance,,,1600000000.0,3716000000.0
Net Long Term Debt Issuance,-20000000.0,-1050000000.0,829000000.0,-154000000.0
Long Term Debt Payments,-787000000.0,-2175000000.0,-10354000000.0,-154000000.0
Long Term Debt Issuance,767000000.0,1125000000.0,11183000000.0,0.0
Investing Cash Flow,-1904000000.0,473000000.0,-3401000000.0,-992000000.0
Cash Flow From Continuing Investing Activities,-1904000000.0,473000000.0,-3401000000.0,-992000000.0
Net Other Investing Changes,166000000.0,,,-1111000000.0
Net Investment Purchase And Sale,-75000000.0,-231000000.0,-18000000.0,0.0
Sale Of Investment,,,,0.0
Purchase Of Investment,-75000000.0,-231000000.0,-18000000.0,0.0
Net Business Purchase And Sale,-459000000.0,0.0,-1967000000.0,0.0
Purchase Of Business,-459000000.0,0.0,-1967000000.0,0.0
Net PPE Purchase And Sale,21000000.0,2533000000.0,407000000.0,150000000.0
Sale Of PPE,21000000.0,2533000000.0,407000000.0,150000000.0
Purchase Of PPE,,,,-31000000.0
Capital Expenditure Reported,-1557000000.0,-1829000000.0,-1823000000.0,-1142000000.0
Operating Cash Flow,1565000000.0,2380000000.0,4125000000.0,1164000000.0
Cash Flow From Continuing Operating Activities,1565000000.0,2380000000.0,4125000000.0,1164000000.0
Change In Working Capital,-315000000.0,275000000.0,-123000000.0,915000000.0
Change In Payables And Accrued Expense,,,,612000000.0
Change In Receivables,,,,303000000.0
Changes In Account Receivables,,,,303000000.0
Other Non Cash Items,925000000.0,372000000.0,-3516000000.0,1047000000.0
Stock Based Compensation,38000000.0,33000000.0,22000000.0,21000000.0
Asset Impairment Charge,,0.0,0.0,8535000000.0
Deferred Tax,-123000000.0,428000000.0,-1332000000.0,-10000000.0
Deferred Income Tax,-123000000.0,428000000.0,-1332000000.0,-10000000.0
Depreciation Amortization Depletion,1729000000.0,1527000000.0,1753000000.0,1097000000.0
Operating Gains Losses,25000000.0,-2674000000.0,2385000000.0,-691000000.0
Gain Loss On Investment Securities,38000000.0,-1728000000.0,2680000000.0,-596000000.0
Net Income From Continuing Operations,-714000000.0,2419000000.0,4936000000.0,-9750000000.0
