,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,10477500.0,-14044800.0,3124800.0,40200.0
Tax Rate For Calcs,0.127,0.133,0.186,0.134
Normalized EBITDA,3833600000.0,3633500000.0,3353500000.0,3043900000.0
Total Unusual Items,82500000.0,-105600000.0,16800000.0,300000.0
Total Unusual Items Excluding Goodwill,82500000.0,-105600000.0,16800000.0,300000.0
Net Income From Continuing Operation Net Minority Interest,1528400000.0,1332900000.0,1409300000.0,1301500000.0
Reconciled Depreciation,1354500000.0,1264200000.0,1122600000.0,1074300000.0
Reconciled Cost Of Revenue,4814000000.0,5291700000.0,6296900000.0,5316500000.0
EBITDA,3916100000.0,3527900000.0,3370300000.0,3044200000.0
EBIT,2561600000.0,2263700000.0,2247700000.0,1969900000.0
Net Interest Income,-798100000.0,-723500000.0,-513900000.0,-471100000.0
Interest Expense,815300000.0,727400000.0,515100000.0,471100000.0
Interest Income,17200000.0,3900000.0,1200000.0,
Normalized Income,1456377500.0,1424455200.0,1395624800.0,1301240200.0
Net Income From Continuing And Discontinued Operation,1528400000.0,1332900000.0,1409300000.0,1301500000.0
Total Expenses,6435000000.0,6806100000.0,7673200000.0,6601100000.0
Total Operating Income As Reported,2152800000.0,1908000000.0,1924200000.0,1714900000.0
Diluted Average Shares,316500000.0,315900000.0,316100000.0,316300000.0
Basic Average Shares,316200000.0,315400000.0,315400000.0,315400000.0
Diluted EPS,4.83,4.22,4.45,4.11
Basic EPS,4.83,4.22,4.46,4.12
Diluted NI Availto Com Stockholders,1527200000.0,1331700000.0,1408100000.0,1300300000.0
Net Income Common Stockholders,1527200000.0,1331700000.0,1408100000.0,1300300000.0
Preferred Stock Dividends,1200000.0,1200000.0,1200000.0,1200000.0
Net Income,1528400000.0,1332900000.0,1409300000.0,1301500000.0
Minority Interests,4100000.0,1200000.0,-400000.0,3000000.0
Net Income Including Noncontrolling Interests,1524300000.0,1331700000.0,1409700000.0,1298500000.0
Net Income Continuous Operations,1524300000.0,1331700000.0,1409700000.0,1298500000.0
Tax Provision,222000000.0,204600000.0,322900000.0,200300000.0
Pretax Income,1746300000.0,1536300000.0,1732600000.0,1498800000.0
Other Income Expense,379500000.0,172900000.0,322300000.0,255000000.0
Other Non Operating Income Expenses,84800000.0,102100000.0,101500000.0,76700000.0
Special Income Charges,70800000.0,-119300000.0,29400000.0,-18300000.0
Other Special Charges,-82900000.0,-59600000.0,-29400000.0,18300000.0
Impairment Of Capital Assets,12100000.0,178900000.0,0.0,0.0
Earnings From Equity Interest,212200000.0,176400000.0,204000000.0,178000000.0
Gain On Sale Of Security,11700000.0,13700000.0,-12600000.0,18600000.0
Net Non Operating Interest Income Expense,-798100000.0,-723500000.0,-513900000.0,-471100000.0
Interest Expense Non Operating,815300000.0,727400000.0,515100000.0,471100000.0
Interest Income Non Operating,17200000.0,3900000.0,1200000.0,
Operating Income,2164900000.0,2086900000.0,1924200000.0,1714900000.0
Operating Expense,1621000000.0,1514400000.0,1376300000.0,1284600000.0
Other Taxes,266500000.0,250200000.0,253700000.0,210300000.0
Depreciation Amortization Depletion Income Statement,1354500000.0,1264200000.0,1122600000.0,1074300000.0
Depreciation And Amortization In Income Statement,1354500000.0,1264200000.0,1122600000.0,1074300000.0
Gross Profit,3785900000.0,3601300000.0,3300500000.0,2999500000.0
Cost Of Revenue,4814000000.0,5291700000.0,6296900000.0,5316500000.0
Total Revenue,8599900000.0,8893000000.0,9597400000.0,8316000000.0
Operating Revenue,8467700000.0,8785300000.0,9568100000.0,8235700000.0
