,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,-28623000.0,-7105000.0,-24418298.192771,-18746000.0
Tax Rate For Calcs,0.203,0.203,0.205196,0.182
Normalized EBITDA,3996000000.0,3701000000.0,3461000000.0,3263000000.0
Total Unusual Items,-141000000.0,-35000000.0,-119000000.0,-103000000.0
Total Unusual Items Excluding Goodwill,-141000000.0,-35000000.0,-119000000.0,-103000000.0
Net Income From Continuing Operation Net Minority Interest,2486000000.0,2344000000.0,2114000000.0,2037000000.0
Reconciled Depreciation,497000000.0,491000000.0,465000000.0,448000000.0
Reconciled Cost Of Revenue,2363000000.0,2219000000.0,2139000000.0,2016000000.0
EBITDA,3855000000.0,3666000000.0,3342000000.0,3160000000.0
EBIT,3358000000.0,3175000000.0,2877000000.0,2712000000.0
Net Interest Income,-119000000.0,-134000000.0,-171000000.0,-218000000.0
Interest Expense,225000000.0,239000000.0,221000000.0,224000000.0
Interest Income,106000000.0,105000000.0,50000000.0,6000000.0
Normalized Income,2598377000.0,2371895000.0,2208581701.807229,2121254000.0
Net Income From Continuing And Discontinued Operation,2486000000.0,2344000000.0,2114000000.0,2037000000.0
Total Expenses,5864000000.0,5475000000.0,5152000000.0,4973000000.0
Diluted Average Shares,454848000.0,462300000.0,470400000.0,476700000.0
Basic Average Shares,454200000.0,461200000.0,468900000.0,474300000.0
Diluted EPS,5.47,5.07,4.49,4.27
Basic EPS,5.47,5.08,4.51,4.29
Diluted NI Availto Com Stockholders,2486000000.0,2344000000.0,2114000000.0,2037000000.0
Net Income Common Stockholders,2486000000.0,2344000000.0,2114000000.0,2037000000.0
Net Income,2486000000.0,2344000000.0,2114000000.0,2037000000.0
Minority Interests,-10000000.0,4000000.0,3000000.0,3000000.0
Net Income Including Noncontrolling Interests,2496000000.0,2340000000.0,2111000000.0,2034000000.0
Net Income Continuous Operations,2496000000.0,2340000000.0,2111000000.0,2034000000.0
Tax Provision,637000000.0,596000000.0,545000000.0,454000000.0
Pretax Income,3133000000.0,2936000000.0,2656000000.0,2488000000.0
Other Income Expense,-140000000.0,1000000.0,-101000000.0,-97000000.0
Other Non Operating Income Expenses,1000000.0,36000000.0,18000000.0,6000000.0
Special Income Charges,-91000000.0,12000000.0,-57000000.0,-76000000.0
Gain On Sale Of Ppe,-16000000.0,0.0,0.0,-3000000.0
Gain On Sale Of Business,-23000000.0,101000000.0,0.0,0.0
Write Off,0.0,2000000.0,9000000.0,16000000.0
Impairment Of Capital Assets,15000000.0,35000000.0,39000000.0,27000000.0
Restructuring And Mergern Acquisition,37000000.0,52000000.0,9000000.0,30000000.0
Gain On Sale Of Security,-50000000.0,-47000000.0,-62000000.0,-27000000.0
Net Non Operating Interest Income Expense,-119000000.0,-134000000.0,-171000000.0,-218000000.0
Interest Expense Non Operating,225000000.0,239000000.0,221000000.0,224000000.0
Interest Income Non Operating,106000000.0,105000000.0,50000000.0,6000000.0
Operating Income,3392000000.0,3069000000.0,2928000000.0,2803000000.0
Operating Expense,3145000000.0,2914000000.0,2698000000.0,2670000000.0
Depreciation Amortization Depletion Income Statement,141000000.0,149000000.0,150000000.0,161000000.0
Depreciation And Amortization In Income Statement,141000000.0,149000000.0,150000000.0,161000000.0
Amortization,141000000.0,149000000.0,150000000.0,161000000.0
Amortization Of Intangibles Income Statement,141000000.0,149000000.0,150000000.0,161000000.0
Research And Development,686000000.0,614000000.0,539000000.0,508000000.0
Selling General And Administration,2318000000.0,2151000000.0,2009000000.0,2001000000.0
Gross Profit,6537000000.0,5983000000.0,5626000000.0,5473000000.0
Cost Of Revenue,2719000000.0,2561000000.0,2454000000.0,2303000000.0
Total Revenue,9256000000.0,8544000000.0,8080000000.0,7776000000.0
Operating Revenue,9256000000.0,8544000000.0,8080000000.0,7776000000.0
