,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.205,0.1746,0.2342,0.2224
Normalized EBITDA,2161664000.0,1973029000.0,2310114000.0,1662983000.0
Net Income From Continuing Operation Net Minority Interest,1681928000.0,1591611000.0,1725575000.0,1236719000.0
Reconciled Depreciation,18375000.0,16916000.0,17396000.0,19463000.0
Reconciled Cost Of Revenue,7850549000.0,7051198000.0,7662271000.0,6763115000.0
EBITDA,2161664000.0,1973029000.0,2310114000.0,1662983000.0
EBIT,2143289000.0,1956113000.0,2292718000.0,1643520000.0
Net Interest Income,-27783000.0,-27740000.0,-39524000.0,-53117000.0
Interest Expense,27783000.0,27740000.0,39524000.0,53117000.0
Normalized Income,1681928000.0,1591611000.0,1725575000.0,1236719000.0
Net Income From Continuing And Discontinued Operation,1681928000.0,1591611000.0,1725575000.0,1236719000.0
Total Expenses,8549652000.0,7731235000.0,8287570000.0,7326542000.0
Total Operating Income As Reported,1987559000.0,1822455000.0,2169184000.0,1470329000.0
Diluted Average Shares,3319000.0,3435000.0,3509000.0,3859000.0
Basic Average Shares,3110000.0,3238000.0,3286000.0,3581000.0
Diluted EPS,506.69,463.31,491.82,320.48
Basic EPS,540.88,491.52,525.2,345.37
Diluted NI Availto Com Stockholders,1681928000.0,1591611000.0,1725575000.0,1236719000.0
Net Income Common Stockholders,1681928000.0,1591611000.0,1725575000.0,1236719000.0
Net Income,1681928000.0,1591611000.0,1725575000.0,1236719000.0
Net Income Including Noncontrolling Interests,1681928000.0,1591611000.0,1725575000.0,1236719000.0
Net Income Continuous Operations,1681928000.0,1591611000.0,1725575000.0,1236719000.0
Tax Provision,433578000.0,336762000.0,527619000.0,353684000.0
Pretax Income,2115506000.0,1928373000.0,2253194000.0,1590403000.0
Other Income Expense,149370000.0,152459000.0,42001000.0,10312000.0
Other Non Operating Income Expenses,149370000.0,152459000.0,42001000.0,10312000.0
Net Non Operating Interest Income Expense,-27783000.0,-27740000.0,-39524000.0,-53117000.0
Interest Expense Non Operating,27783000.0,27740000.0,39524000.0,53117000.0
Operating Income,1993919000.0,1803654000.0,2250717000.0,1633208000.0
Operating Expense,699103000.0,680037000.0,625299000.0,563427000.0
Other Operating Expenses,-143890000.0,-148010000.0,-37038000.0,-6559000.0
Selling General And Administration,699103000.0,680037000.0,625299000.0,563427000.0
General And Administrative Expense,699103000.0,680037000.0,625299000.0,563427000.0
Other Gand A,699103000.0,680037000.0,625299000.0,563427000.0
Gross Profit,2693022000.0,2483691000.0,2876016000.0,2196635000.0
Cost Of Revenue,7850549000.0,7051198000.0,7662271000.0,6763115000.0
Total Revenue,10543571000.0,9534889000.0,10538287000.0,8959750000.0
Operating Revenue,10543571000.0,9534889000.0,10538287000.0,8959750000.0
