,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.251,0.232,0.247,0.212
Normalized EBITDA,1720200000.0,1579100000.0,1681300000.0,1584400000.0
Net Income From Continuing Operation Net Minority Interest,604100000.0,545300000.0,696200000.0,744200000.0
Reconciled Depreciation,680600000.0,619800000.0,568600000.0,489600000.0
Reconciled Cost Of Revenue,2507900000.0,2326100000.0,2168700000.0,1971700000.0
EBITDA,1720200000.0,1579100000.0,1681300000.0,1584400000.0
EBIT,1039600000.0,959300000.0,1112700000.0,1094800000.0
Net Interest Income,-229100000.0,-241400000.0,-183000000.0,-145600000.0
Interest Expense,229100000.0,241400000.0,183000000.0,145600000.0
Normalized Income,604100000.0,545300000.0,696200000.0,744200000.0
Net Income From Continuing And Discontinued Operation,604100000.0,545300000.0,696200000.0,744200000.0
Total Expenses,4639000000.0,4331600000.0,4066200000.0,3785900000.0
Total Operating Income As Reported,1042100000.0,933600000.0,1056000000.0,1138000000.0
Diluted Average Shares,124900000.0,123900000.0,123300000.0,123600000.0
Basic Average Shares,123800000.0,122900000.0,122400000.0,121900000.0
Diluted EPS,4.84,4.4,5.65,6.02
Basic EPS,4.88,4.44,5.69,6.11
Diluted NI Availto Com Stockholders,604100000.0,545300000.0,696200000.0,744200000.0
Net Income Common Stockholders,604100000.0,545300000.0,696200000.0,744200000.0
Net Income,604100000.0,545300000.0,696200000.0,744200000.0
Minority Interests,-3200000.0,-6400000.0,-4000000.0,-4300000.0
Net Income Including Noncontrolling Interests,607300000.0,551700000.0,700200000.0,748500000.0
Net Income Continuous Operations,607300000.0,551700000.0,700200000.0,748500000.0
Tax Provision,203200000.0,166200000.0,229500000.0,200700000.0
Pretax Income,810500000.0,717900000.0,929700000.0,949200000.0
Other Income Expense,-2500000.0,25700000.0,56700000.0,-43200000.0
Other Non Operating Income Expenses,-2500000.0,25700000.0,56700000.0,-43200000.0
Net Non Operating Interest Income Expense,-229100000.0,-241400000.0,-183000000.0,-145600000.0
Interest Expense Non Operating,229100000.0,241400000.0,183000000.0,145600000.0
Operating Income,1042100000.0,933600000.0,1056000000.0,1138000000.0
Operating Expense,2120300000.0,1996500000.0,1889000000.0,1805000000.0
Depreciation Amortization Depletion Income Statement,669800000.0,610800000.0,560100000.0,480400000.0
Depreciation And Amortization In Income Statement,669800000.0,610800000.0,560100000.0,480400000.0
Selling General And Administration,1450500000.0,1385700000.0,1328900000.0,1324600000.0
Gross Profit,3162400000.0,2930100000.0,2945000000.0,2943000000.0
Cost Of Revenue,2518700000.0,2335100000.0,2177200000.0,1980900000.0
Total Revenue,5681100000.0,5265200000.0,5122200000.0,4923900000.0
Operating Revenue,5681100000.0,5265200000.0,5122200000.0,4923900000.0
