,2024-09-30,2023-09-30,2022-09-30,2021-09-30
Tax Effect Of Unusual Items,0.0,-33583000.0,0.0,0.0
Tax Rate For Calcs,0.248,0.043,0.217,0.243
Normalized EBITDA,2973000000.0,1797000000.0,5716000000.0,5683000000.0
Total Unusual Items,0.0,-781000000.0,0.0,0.0
Total Unusual Items Excluding Goodwill,0.0,-781000000.0,0.0,0.0
Net Income From Continuing Operation Net Minority Interest,800000000.0,-648000000.0,3238000000.0,3047000000.0
Reconciled Depreciation,1400000000.0,1339000000.0,1202000000.0,1214000000.0
Reconciled Cost Of Revenue,49682000000.0,50250000000.0,46614000000.0,40523000000.0
EBITDA,2973000000.0,1016000000.0,5716000000.0,5683000000.0
EBIT,1573000000.0,-323000000.0,4514000000.0,4469000000.0
Net Interest Income,-392000000.0,-325000000.0,-348000000.0,-420000000.0
Interest Expense,481000000.0,355000000.0,365000000.0,428000000.0
Interest Income,89000000.0,30000000.0,17000000.0,8000000.0
Normalized Income,800000000.0,99417000.0,3238000000.0,3047000000.0
Net Income From Continuing And Discontinued Operation,800000000.0,-648000000.0,3238000000.0,3047000000.0
Total Expenses,51900000000.0,52495000000.0,48872000000.0,42653000000.0
Total Operating Income As Reported,1409000000.0,-395000000.0,4410000000.0,4396000000.0
Diluted Average Shares,355555556.0,354000000.0,363000000.0,365000000.0
Basic Average Shares,346320346.0,354000000.0,360000000.0,363000000.0
Diluted EPS,2.25,-1.87,8.92,8.34
Basic EPS,2.31,-1.87,9.18,8.57
Diluted NI Availto Com Stockholders,800000000.0,-648000000.0,3238000000.0,3047000000.0
Net Income Common Stockholders,800000000.0,-648000000.0,3238000000.0,3047000000.0
Net Income,800000000.0,-648000000.0,3238000000.0,3047000000.0
Minority Interests,-22000000.0,1000000.0,-11000000.0,-13000000.0
Net Income Including Noncontrolling Interests,822000000.0,-649000000.0,3249000000.0,3060000000.0
Net Income Continuous Operations,822000000.0,-649000000.0,3249000000.0,3060000000.0
Tax Provision,270000000.0,-29000000.0,900000000.0,981000000.0
Pretax Income,1092000000.0,-678000000.0,4149000000.0,4041000000.0
Other Income Expense,75000000.0,-739000000.0,87000000.0,65000000.0
Other Non Operating Income Expenses,75000000.0,42000000.0,87000000.0,65000000.0
Special Income Charges,0.0,-781000000.0,0.0,0.0
Impairment Of Capital Assets,0.0,781000000.0,0.0,0.0
Net Non Operating Interest Income Expense,-392000000.0,-325000000.0,-348000000.0,-420000000.0
Interest Expense Non Operating,481000000.0,355000000.0,365000000.0,428000000.0
Interest Income Non Operating,89000000.0,30000000.0,17000000.0,8000000.0
Operating Income,1409000000.0,386000000.0,4410000000.0,4396000000.0
Operating Expense,2218000000.0,2245000000.0,2258000000.0,2130000000.0
Selling General And Administration,2218000000.0,2245000000.0,2258000000.0,2130000000.0
Gross Profit,3627000000.0,2631000000.0,6668000000.0,6526000000.0
Cost Of Revenue,49682000000.0,50250000000.0,46614000000.0,40523000000.0
Total Revenue,53309000000.0,52881000000.0,53282000000.0,47049000000.0
Operating Revenue,53309000000.0,52881000000.0,53282000000.0,47049000000.0
