,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0
Tax Rate For Calcs,0.216,0.216,0.215,0.256
Normalized EBITDA,564300000.0,500810000.0,577683000.0,378650000.0
Net Income From Continuing Operation Net Minority Interest,453960000.0,405645000.0,446362000.0,269980000.0
Reconciled Depreciation,25162000.0,14757000.0,15376000.0,16257000.0
Reconciled Cost Of Revenue,71286000.0,48323000.0,32839000.0,29490000.0
EBITDA,564300000.0,500810000.0,577683000.0,378650000.0
EBIT,539138000.0,486053000.0,562307000.0,362393000.0
Net Interest Income,32140000.0,28630000.0,6207000.0,
Interest Income,32140000.0,28630000.0,6207000.0,
Normalized Income,453960000.0,405645000.0,446362000.0,269980000.0
Net Income From Continuing And Discontinued Operation,453960000.0,405645000.0,446362000.0,269980000.0
Total Expenses,166685000.0,145542000.0,105115000.0,88565000.0
Total Operating Income As Reported,539138000.0,486053000.0,562307000.0,362393000.0
Diluted Average Shares,23019751.0,23059845.0,23180427.0,23256162.0
Basic Average Shares,22986197.0,23044305.0,23165871.0,23256081.0
Diluted EPS,19.72,17.59,19.256667,11.61
Basic EPS,19.75,17.603333,19.266667,11.61
Diluted NI Availto Com Stockholders,453960000.0,405645000.0,446362000.0,269980000.0
Net Income Common Stockholders,453960000.0,405645000.0,446362000.0,269980000.0
Net Income,453960000.0,405645000.0,446362000.0,269980000.0
Net Income Including Noncontrolling Interests,453960000.0,405645000.0,446362000.0,269980000.0
Net Income Continuous Operations,453960000.0,405645000.0,446362000.0,269980000.0
Tax Provision,124861000.0,111916000.0,122493000.0,93037000.0
Pretax Income,578821000.0,517561000.0,568855000.0,363017000.0
Other Income Expense,7543000.0,2878000.0,341000.0,624000.0
Other Non Operating Income Expenses,7543000.0,2878000.0,341000.0,624000.0
Net Non Operating Interest Income Expense,32140000.0,28630000.0,6207000.0,
Interest Income Non Operating,32140000.0,28630000.0,6207000.0,
Operating Income,539138000.0,486053000.0,562307000.0,362393000.0
Operating Expense,95399000.0,97219000.0,72276000.0,59075000.0
Other Taxes,7295000.0,7385000.0,8854000.0,144000.0
Selling General And Administration,88104000.0,89834000.0,63422000.0,58931000.0
General And Administrative Expense,88104000.0,89834000.0,63422000.0,58931000.0
Other Gand A,34483000.0,46450000.0,22020000.0,18919000.0
Salaries And Wages,53621000.0,43384000.0,41402000.0,40012000.0
Gross Profit,634537000.0,583272000.0,634583000.0,421468000.0
Cost Of Revenue,71286000.0,48323000.0,32839000.0,29490000.0
Total Revenue,705823000.0,631595000.0,667422000.0,450958000.0
Operating Revenue,705823000.0,631595000.0,667422000.0,450958000.0
