,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,-18942000.0,-5220000.0,-2916000.0,-11696000.0
Tax Rate For Calcs,0.246,0.087,0.243,0.068
Normalized EBITDA,4415000000.0,4439000000.0,3929000000.0,2067000000.0
Total Unusual Items,-77000000.0,-60000000.0,-12000000.0,-172000000.0
Total Unusual Items Excluding Goodwill,-77000000.0,-60000000.0,-12000000.0,-172000000.0
Net Income From Continuing Operation Net Minority Interest,2375000000.0,3083000000.0,2358000000.0,1099000000.0
Reconciled Depreciation,492000000.0,436000000.0,400000000.0,295000000.0
Reconciled Cost Of Revenue,19690000000.0,18342000000.0,16008000000.0,10981000000.0
EBITDA,4338000000.0,4379000000.0,3917000000.0,1895000000.0
EBIT,3846000000.0,3943000000.0,3517000000.0,1600000000.0
Net Interest Income,-655000000.0,-535000000.0,-377000000.0,-392000000.0
Interest Expense,695000000.0,565000000.0,403000000.0,420000000.0
Interest Income,40000000.0,30000000.0,26000000.0,28000000.0
Normalized Income,2433058000.0,3137780000.0,2367084000.0,1259304000.0
Net Income From Continuing And Discontinued Operation,2375000000.0,3083000000.0,2358000000.0,1099000000.0
Total Expenses,21256000000.0,19789000000.0,17299000000.0,12099000000.0
Total Operating Income As Reported,3767000000.0,3864000000.0,3462000000.0,1750000000.0
Diluted Average Shares,285200000.0,302900000.0,325800000.0,329300000.0
Basic Average Shares,284200000.0,301500000.0,324400000.0,327200000.0
Diluted EPS,8.33,10.18,7.24,3.34
Basic EPS,8.36,10.23,7.27,3.36
Diluted NI Availto Com Stockholders,2375000000.0,3083000000.0,2358000000.0,1099000000.0
Net Income Common Stockholders,2375000000.0,3083000000.0,2358000000.0,1099000000.0
Net Income,2375000000.0,3083000000.0,2358000000.0,1099000000.0
Net Income Including Noncontrolling Interests,2375000000.0,3083000000.0,2358000000.0,1099000000.0
Net Income Continuous Operations,2375000000.0,3083000000.0,2358000000.0,1099000000.0
Tax Provision,776000000.0,295000000.0,756000000.0,81000000.0
Pretax Income,3151000000.0,3378000000.0,3114000000.0,1180000000.0
Other Income Expense,-38000000.0,-11000000.0,17000000.0,-186000000.0
Other Non Operating Income Expenses,31000000.0,40000000.0,11000000.0,10000000.0
Special Income Charges,-77000000.0,-60000000.0,-12000000.0,-172000000.0
Other Special Charges,,,,164000000.0
Restructuring And Mergern Acquisition,77000000.0,60000000.0,12000000.0,8000000.0
Earnings From Equity Interest,8000000.0,9000000.0,18000000.0,-24000000.0
Net Non Operating Interest Income Expense,-655000000.0,-535000000.0,-377000000.0,-392000000.0
Interest Expense Non Operating,695000000.0,565000000.0,403000000.0,420000000.0
Interest Income Non Operating,40000000.0,30000000.0,26000000.0,28000000.0
Operating Income,3844000000.0,3924000000.0,3474000000.0,1758000000.0
Operating Expense,1257000000.0,1200000000.0,1084000000.0,1043000000.0
Depreciation Amortization Depletion Income Statement,183000000.0,189000000.0,193000000.0,220000000.0
Depreciation And Amortization In Income Statement,183000000.0,189000000.0,193000000.0,220000000.0
Selling General And Administration,1074000000.0,1011000000.0,891000000.0,823000000.0
General And Administrative Expense,1074000000.0,1011000000.0,891000000.0,823000000.0
Other Gand A,1074000000.0,1011000000.0,891000000.0,823000000.0
Gross Profit,5101000000.0,5124000000.0,4558000000.0,2801000000.0
Cost Of Revenue,19999000000.0,18589000000.0,16215000000.0,11056000000.0
Total Revenue,25100000000.0,23713000000.0,20773000000.0,13857000000.0
Operating Revenue,6721000000.0,6388000000.0,5445000000.0,3490000000.0
