,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,0.0,32231000.0,10206000.0,0.0
Tax Rate For Calcs,0.142,0.193,0.189,0.218
Normalized EBITDA,8839000000.0,7856000000.0,6774000000.0,5558000000.0
Total Unusual Items,0.0,167000000.0,54000000.0,0.0
Total Unusual Items Excluding Goodwill,0.0,167000000.0,54000000.0,0.0
Net Income From Continuing Operation Net Minority Interest,3131000000.0,3068000000.0,2530000000.0,1334000000.0
Reconciled Depreciation,3095000000.0,3121000000.0,3169000000.0,3196000000.0
Reconciled Cost Of Revenue,8013000000.0,7670000000.0,7992000000.0,8128000000.0
EBITDA,8839000000.0,8023000000.0,6828000000.0,5558000000.0
EBIT,5744000000.0,4902000000.0,3659000000.0,2362000000.0
Net Interest Income,-1195000000.0,-976000000.0,-733000000.0,-693000000.0
Interest Expense,1238000000.0,1004000000.0,746000000.0,696000000.0
Interest Income,43000000.0,28000000.0,13000000.0,3000000.0
Normalized Income,3131000000.0,2933231000.0,2486206000.0,1334000000.0
Net Income From Continuing And Discontinued Operation,3131000000.0,3068000000.0,2530000000.0,1334000000.0
Total Expenses,14577000000.0,14246000000.0,14051000000.0,13938000000.0
Total Operating Income As Reported,5879000000.0,5014000000.0,3740000000.0,2288000000.0
Diluted Average Shares,582100000.0,616064257.0,647900000.0,671600000.0
Basic Average Shares,564000000.0,616064257.0,630000000.0,650000000.0
Diluted EPS,5.38,4.98,3.91,1.99
Basic EPS,5.551418,4.98,4.015873,2.052308
Diluted NI Availto Com Stockholders,3131000000.0,3068000000.0,2530000000.0,1334000000.0
Net Income Common Stockholders,3131000000.0,3068000000.0,2530000000.0,1334000000.0
Net Income,3131000000.0,3068000000.0,2530000000.0,1334000000.0
Minority Interests,-49000000.0,-61000000.0,-52000000.0,-69000000.0
Net Income Including Noncontrolling Interests,3180000000.0,3129000000.0,2582000000.0,1403000000.0
Net Income Continuous Operations,3180000000.0,3129000000.0,2582000000.0,1403000000.0
Earnings From Equity Interest Net Of Tax,-685000000.0,-15000000.0,220000000.0,100000000.0
Tax Provision,641000000.0,754000000.0,551000000.0,363000000.0
Pretax Income,4506000000.0,3898000000.0,2913000000.0,1666000000.0
Other Income Expense,-178000000.0,27000000.0,-40000000.0,71000000.0
Other Non Operating Income Expenses,-178000000.0,-140000000.0,-94000000.0,71000000.0
Special Income Charges,0.0,167000000.0,54000000.0,0.0
Gain On Sale Of Business,0.0,167000000.0,54000000.0,0.0
Net Non Operating Interest Income Expense,-1195000000.0,-976000000.0,-733000000.0,-693000000.0
Interest Expense Non Operating,1238000000.0,1004000000.0,746000000.0,696000000.0
Interest Income Non Operating,43000000.0,28000000.0,13000000.0,3000000.0
Operating Income,5879000000.0,4847000000.0,3686000000.0,2288000000.0
Operating Expense,6564000000.0,6576000000.0,6059000000.0,5810000000.0
Selling General And Administration,6564000000.0,6576000000.0,6059000000.0,5810000000.0
Gross Profit,12443000000.0,11423000000.0,9745000000.0,8098000000.0
Cost Of Revenue,8013000000.0,7670000000.0,7992000000.0,8128000000.0
Total Revenue,20456000000.0,19093000000.0,17737000000.0,16226000000.0
Operating Revenue,20456000000.0,19093000000.0,17737000000.0,16226000000.0
