,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,-23920000.0,-43040000.0,-15810000.0,-29580000.0
Tax Rate For Calcs,0.23,0.16,0.17,0.29
Normalized EBITDA,6179000000.0,5186000000.0,3548000000.0,7232000000.0
Total Unusual Items,-104000000.0,-269000000.0,-93000000.0,-102000000.0
Total Unusual Items Excluding Goodwill,-104000000.0,-269000000.0,-93000000.0,-102000000.0
Net Income From Continuing Operation Net Minority Interest,2754000000.0,2368000000.0,1446000000.0,4058000000.0
Reconciled Depreciation,1537000000.0,1215000000.0,1031000000.0,1009000000.0
Reconciled Cost Of Revenue,5239000000.0,4244000000.0,4434000000.0,4150000000.0
EBITDA,6075000000.0,4917000000.0,3455000000.0,7130000000.0
EBIT,4538000000.0,3702000000.0,2424000000.0,6121000000.0
Net Interest Income,-769000000.0,-489000000.0,-508000000.0,-422000000.0
Interest Expense,910000000.0,808000000.0,616000000.0,423000000.0
Interest Income,141000000.0,319000000.0,108000000.0,1000000.0
Normalized Income,2834080000.0,2593960000.0,1523190000.0,4130420000.0
Net Income From Continuing And Discontinued Operation,2754000000.0,2368000000.0,1446000000.0,4058000000.0
Total Expenses,7348000000.0,5940000000.0,5905000000.0,5617000000.0
Rent Expense Supplemental,111000000.0,92000000.0,83000000.0,84000000.0
Total Operating Income As Reported,4309000000.0,3694000000.0,3638000000.0,3449000000.0
Diluted Average Shares,576000000.0,565000000.0,561000000.0,565000000.0
Basic Average Shares,573000000.0,564000000.0,559000000.0,562000000.0
Diluted EPS,4.78,4.19,2.58,7.18
Basic EPS,4.8,4.2,2.59,7.22
Diluted NI Availto Com Stockholders,2754000000.0,2368000000.0,1446000000.0,4058000000.0
Net Income Common Stockholders,2754000000.0,2368000000.0,1446000000.0,4058000000.0
Net Income,2754000000.0,2368000000.0,1446000000.0,4058000000.0
Minority Interests,-48000000.0,-70000000.0,-52000000.0,-11000000.0
Net Income Including Noncontrolling Interests,2802000000.0,2438000000.0,1498000000.0,4069000000.0
Net Income Continuous Operations,2802000000.0,2438000000.0,1498000000.0,4069000000.0
Tax Provision,826000000.0,456000000.0,310000000.0,1629000000.0
Pretax Income,3628000000.0,2894000000.0,1808000000.0,5698000000.0
Other Income Expense,-16000000.0,-580000000.0,-1415000000.0,2569000000.0
Other Non Operating Income Expenses,88000000.0,-311000000.0,-1322000000.0,2671000000.0
Special Income Charges,-104000000.0,-269000000.0,-93000000.0,-102000000.0
Restructuring And Mergern Acquisition,104000000.0,269000000.0,93000000.0,102000000.0
Net Non Operating Interest Income Expense,-769000000.0,-489000000.0,-508000000.0,-422000000.0
Interest Expense Non Operating,910000000.0,808000000.0,616000000.0,423000000.0
Interest Income Non Operating,141000000.0,319000000.0,108000000.0,1000000.0
Operating Income,4413000000.0,3963000000.0,3731000000.0,3551000000.0
Operating Expense,2109000000.0,1696000000.0,1471000000.0,1467000000.0
Depreciation Amortization Depletion Income Statement,1537000000.0,1215000000.0,1031000000.0,1009000000.0
Depreciation And Amortization In Income Statement,1537000000.0,1215000000.0,1031000000.0,1009000000.0
Selling General And Administration,572000000.0,481000000.0,440000000.0,458000000.0
General And Administrative Expense,572000000.0,481000000.0,440000000.0,458000000.0
Other Gand A,461000000.0,389000000.0,357000000.0,374000000.0
Rent And Landing Fees,111000000.0,92000000.0,83000000.0,84000000.0
Gross Profit,6522000000.0,5659000000.0,5202000000.0,5018000000.0
Cost Of Revenue,5239000000.0,4244000000.0,4434000000.0,4150000000.0
Total Revenue,11761000000.0,9903000000.0,9636000000.0,9168000000.0
Operating Revenue,11761000000.0,9903000000.0,9636000000.0,9168000000.0
