,2024-06-30,2023-06-30,2022-06-30,2021-06-30
Tax Effect Of Unusual Items,-270882000.0,0.0,0.0,0.0
Tax Rate For Calcs,0.202,0.017,0.178,0.185
Normalized EBITDA,23923000000.0,21823000000.0,21241000000.0,20852000000.0
Total Unusual Items,-1341000000.0,0.0,0.0,0.0
Total Unusual Items Excluding Goodwill,-1341000000.0,0.0,0.0,0.0
Net Income From Continuing Operation Net Minority Interest,14879000000.0,14653000000.0,14742000000.0,14306000000.0
Reconciled Depreciation,2896000000.0,2714000000.0,2807000000.0,2735000000.0
Reconciled Cost Of Revenue,40848000000.0,42760000000.0,42157000000.0,37108000000.0
EBITDA,22582000000.0,21823000000.0,21241000000.0,20852000000.0
EBIT,19686000000.0,19109000000.0,18434000000.0,18117000000.0
Net Interest Income,-452000000.0,-449000000.0,-388000000.0,-457000000.0
Interest Expense,925000000.0,756000000.0,439000000.0,502000000.0
Interest Income,473000000.0,307000000.0,51000000.0,45000000.0
Normalized Income,15949118000.0,14653000000.0,14742000000.0,14306000000.0
Net Income From Continuing And Discontinued Operation,14879000000.0,14653000000.0,14742000000.0,14306000000.0
Total Expenses,64153000000.0,63872000000.0,62374000000.0,58132000000.0
Total Operating Income As Reported,18545000000.0,18134000000.0,17813000000.0,17986000000.0
Diluted Average Shares,2471900000.0,2483900000.0,2539100000.0,2601000000.0
Basic Average Shares,2407605178.0,2414003295.0,2457000000.0,2514235501.0
Diluted EPS,6.02,5.9,5.81,5.5
Basic EPS,6.18,6.07,6.0,5.69
Diluted NI Availto Com Stockholders,14879000000.0,14653000000.0,14742000000.0,14306000000.0
Average Dilution Earnings,284000000.0,282000000.0,281000000.0,271000000.0
Net Income Common Stockholders,14595000000.0,14371000000.0,14461000000.0,14035000000.0
Preferred Stock Dividends,284000000.0,282000000.0,281000000.0,271000000.0
Net Income,14879000000.0,14653000000.0,14742000000.0,14306000000.0
Minority Interests,-95000000.0,-85000000.0,-51000000.0,-46000000.0
Net Income Including Noncontrolling Interests,14974000000.0,14738000000.0,14793000000.0,14352000000.0
Net Income Continuous Operations,14974000000.0,14738000000.0,14793000000.0,14352000000.0
Tax Provision,3787000000.0,3615000000.0,3202000000.0,3263000000.0
Pretax Income,18761000000.0,18353000000.0,17995000000.0,17615000000.0
Other Income Expense,-673000000.0,668000000.0,570000000.0,86000000.0
Other Non Operating Income Expenses,668000000.0,668000000.0,570000000.0,86000000.0
Special Income Charges,-1341000000.0,0.0,0.0,0.0
Impairment Of Capital Assets,1341000000.0,0.0,0.0,0.0
Net Non Operating Interest Income Expense,-452000000.0,-449000000.0,-388000000.0,-457000000.0
Interest Expense Non Operating,925000000.0,756000000.0,439000000.0,502000000.0
Interest Income Non Operating,473000000.0,307000000.0,51000000.0,45000000.0
Operating Income,19886000000.0,18134000000.0,17813000000.0,17986000000.0
Operating Expense,23305000000.0,21112000000.0,20217000000.0,21024000000.0
Selling General And Administration,23305000000.0,21112000000.0,20217000000.0,21024000000.0
Gross Profit,43191000000.0,39246000000.0,38030000000.0,39010000000.0
Cost Of Revenue,40848000000.0,42760000000.0,42157000000.0,37108000000.0
Total Revenue,84039000000.0,82006000000.0,80187000000.0,76118000000.0
Operating Revenue,84039000000.0,82006000000.0,80187000000.0,76118000000.0
