,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,-238206360.0,12956790.0,-1348269.859508,65113620.0
Tax Rate For Calcs,0.21,0.21,0.160508,0.22
Normalized EBITDA,124748000.0,731055000.0,2865658000.0,153123000.0
Total Unusual Items,-1134316000.0,61699000.0,-8400000.0,295971000.0
Total Unusual Items Excluding Goodwill,-1134316000.0,61699000.0,-8400000.0,295971000.0
Net Income From Continuing Operation Net Minority Interest,-1179449000.0,1573476000.0,2689816000.0,123672000.0
Reconciled Depreciation,588638000.0,429944000.0,300841000.0,254000000.0
Reconciled Cost Of Revenue,5314987000.0,8431294000.0,4245517000.0,2329986000.0
EBITDA,-1009568000.0,792754000.0,2857258000.0,449094000.0
EBIT,-1598206000.0,362810000.0,2556417000.0,195094000.0
Net Interest Income,-165619000.0,-116072000.0,-122973000.0,-61476000.0
Interest Expense,165619000.0,116072000.0,122973000.0,61476000.0
Normalized Income,-283339360.0,1524733790.0,2696867730.140492,-107185380.0
Net Income From Continuing And Discontinued Operation,-1179449000.0,1573476000.0,2689816000.0,123672000.0
Total Expenses,6019755000.0,9427021000.0,4841643000.0,2825494000.0
Total Operating Income As Reported,-1776545000.0,251881000.0,2470061000.0,798434000.0
Diluted Average Shares,117516000.0,117766000.0,117793000.0,116536000.0
Basic Average Shares,117516000.0,117317000.0,117120000.0,115841000.0
Diluted EPS,-11.2,13.36,22.84,1.06
Basic EPS,-11.2,13.41,22.97,1.07
Diluted NI Availto Com Stockholders,-1316096000.0,1573476000.0,2689816000.0,123672000.0
Net Income Common Stockholders,-1316096000.0,1573476000.0,2689816000.0,123672000.0
Preferred Stock Dividends,136647000.0,,,
Net Income,-1179449000.0,1573476000.0,2689816000.0,123672000.0
Minority Interests,-43972000.0,-97067000.0,-125315000.0,-76270000.0
Net Income Including Noncontrolling Interests,-1135477000.0,1670543000.0,2815131000.0,199942000.0
Net Income Continuous Operations,-1135477000.0,1670543000.0,2815131000.0,199942000.0
Earnings From Equity Interest Net Of Tax,715433000.0,1854082000.0,772275000.0,95770000.0
Tax Provision,87085000.0,430277000.0,390588000.0,29446000.0
Pretax Income,-1763825000.0,246738000.0,2433444000.0,133618000.0
Other Income Expense,-955977000.0,172628000.0,77956000.0,-307369000.0
Other Non Operating Income Expenses,178339000.0,110929000.0,86356000.0,-603340000.0
Special Income Charges,-1134316000.0,61699000.0,-8400000.0,295971000.0
Gain On Sale Of Business,0.0,71190000.0,-8400000.0,295971000.0
Restructuring And Mergern Acquisition,1134316000.0,9491000.0,0.0,
Net Non Operating Interest Income Expense,-165619000.0,-116072000.0,-122973000.0,-61476000.0
Interest Expense Non Operating,165619000.0,116072000.0,122973000.0,61476000.0
Operating Income,-642229000.0,190182000.0,2478461000.0,502463000.0
Operating Expense,704768000.0,995727000.0,596126000.0,495508000.0
Research And Development,86720000.0,85725000.0,71981000.0,54026000.0
Selling General And Administration,618048000.0,910002000.0,524145000.0,441482000.0
Gross Profit,62539000.0,1185909000.0,3074587000.0,997971000.0
Cost Of Revenue,5314987000.0,8431294000.0,4245517000.0,2329986000.0
Total Revenue,5377526000.0,9617203000.0,7320104000.0,3327957000.0
Operating Revenue,5377526000.0,9617203000.0,7320104000.0,3327957000.0
