,2025-01-31,2024-01-31,2023-01-31,2022-01-31
Tax Effect Of Unusual Items,-97104329.120731,-208022222.222222,-224070000.0,69561357.70235
Tax Rate For Calcs,0.166846,0.164444,0.21,0.057441
Normalized EBITDA,11725000000.0,11223000000.0,6711000000.0,2635000000.0
Total Unusual Items,-582000000.0,-1265000000.0,-1067000000.0,1211000000.0
Total Unusual Items Excluding Goodwill,-582000000.0,-1265000000.0,-1067000000.0,1211000000.0
Net Income From Continuing Operation Net Minority Interest,6197000000.0,4136000000.0,208000000.0,1444000000.0
Reconciled Depreciation,3477000000.0,3959000000.0,3786000000.0,3298000000.0
Reconciled Cost Of Revenue,8643000000.0,8541000000.0,8360000000.0,7026000000.0
EBITDA,11143000000.0,9958000000.0,5644000000.0,3846000000.0
EBIT,7666000000.0,5999000000.0,1858000000.0,548000000.0
Normalized Income,6681895670.879269,5192977777.777778,1050930000.0,302561357.70235
Net Income From Continuing And Discontinued Operation,6197000000.0,4136000000.0,208000000.0,1444000000.0
Total Expenses,30229000000.0,28858000000.0,29494000000.0,25944000000.0
Total Operating Income As Reported,7205000000.0,5011000000.0,1030000000.0,548000000.0
Diluted Average Shares,974000000.0,984000000.0,997000000.0,974000000.0
Basic Average Shares,962000000.0,974000000.0,992000000.0,955000000.0
Diluted EPS,6.36,4.2,0.21,1.48
Basic EPS,6.44,4.25,0.21,1.51
Diluted NI Availto Com Stockholders,6197000000.0,4136000000.0,208000000.0,1444000000.0
Net Income Common Stockholders,6197000000.0,4136000000.0,208000000.0,1444000000.0
Net Income,6197000000.0,4136000000.0,208000000.0,1444000000.0
Net Income Including Noncontrolling Interests,6197000000.0,4136000000.0,208000000.0,1444000000.0
Net Income Continuous Operations,6197000000.0,4136000000.0,208000000.0,1444000000.0
Tax Provision,1241000000.0,814000000.0,452000000.0,88000000.0
Pretax Income,7438000000.0,4950000000.0,660000000.0,1532000000.0
Other Income Expense,-228000000.0,-1049000000.0,-1198000000.0,984000000.0
Other Non Operating Income Expenses,354000000.0,216000000.0,-131000000.0,-227000000.0
Special Income Charges,-1043000000.0,-1454000000.0,-1319000000.0,-51000000.0
Write Off,582000000.0,466000000.0,491000000.0,51000000.0
Restructuring And Mergern Acquisition,461000000.0,988000000.0,828000000.0,0.0
Gain On Sale Of Security,461000000.0,189000000.0,252000000.0,1262000000.0
Operating Income,7666000000.0,5999000000.0,1858000000.0,548000000.0
Operating Expense,21586000000.0,20317000000.0,21134000000.0,18918000000.0
Depreciation Amortization Depletion Income Statement,,891000000.0,916000000.0,727000000.0
Depreciation And Amortization In Income Statement,,891000000.0,916000000.0,727000000.0
Amortization,,891000000.0,916000000.0,727000000.0
Amortization Of Intangibles Income Statement,,891000000.0,916000000.0,727000000.0
Research And Development,5493000000.0,4906000000.0,5055000000.0,4465000000.0
Selling General And Administration,16093000000.0,15411000000.0,16079000000.0,14453000000.0
Selling And Marketing Expense,13257000000.0,12877000000.0,13526000000.0,11855000000.0
General And Administrative Expense,2836000000.0,2534000000.0,2553000000.0,2598000000.0
Other Gand A,2836000000.0,2534000000.0,2553000000.0,2598000000.0
Salaries And Wages,,1062000000.0,1256000000.0,1104000000.0
Gross Profit,29252000000.0,26316000000.0,22992000000.0,19466000000.0
Cost Of Revenue,8643000000.0,8541000000.0,8360000000.0,7026000000.0
Total Revenue,37895000000.0,34857000000.0,31352000000.0,26492000000.0
Operating Revenue,37895000000.0,34857000000.0,31352000000.0,26492000000.0
