,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,-1554000.0,15900000.0,0.0,0.0
Tax Rate For Calcs,0.222,0.265,0.259615,0.262642
Normalized EBITDA,2476000000.0,2331000000.0,2380000000.0,3028000000.0
Total Unusual Items,-7000000.0,60000000.0,-9000000.0,29000000.0
Total Unusual Items Excluding Goodwill,-7000000.0,60000000.0,-9000000.0,29000000.0
Net Income From Continuing Operation Net Minority Interest,465000000.0,465000000.0,539000000.0,977000000.0
Reconciled Depreciation,1657000000.0,1522000000.0,1351000000.0,1272000000.0
Reconciled Cost Of Revenue,23024000000.0,21868000000.0,19062000000.0,11675000000.0
EBITDA,2469000000.0,2391000000.0,2380000000.0,3028000000.0
EBIT,812000000.0,869000000.0,1029000000.0,1756000000.0
Net Interest Income,283000000.0,347000000.0,-84000000.0,-418000000.0
Interest Expense,214000000.0,236000000.0,301000000.0,431000000.0
Interest Income,497000000.0,583000000.0,217000000.0,13000000.0
Normalized Income,470446000.0,420900000.0,539000000.0,977000000.0
Net Income From Continuing And Discontinued Operation,465000000.0,465000000.0,539000000.0,977000000.0
Total Expenses,27162000000.0,25867000000.0,22797000000.0,14069000000.0
Rent Expense Supplemental,1962000000.0,1789000000.0,1508000000.0,1456000000.0
Total Operating Income As Reported,321000000.0,224000000.0,1017000000.0,1721000000.0
Diluted Average Shares,643000000.0,640000000.0,642000000.0,609000000.0
Basic Average Shares,598000000.0,595000000.0,593000000.0,592000000.0
Diluted EPS,0.76,0.81,0.87,1.61
Basic EPS,0.78,0.84,0.91,1.65
Diluted NI Availto Com Stockholders,485000000.0,484000000.0,561000000.0,977000000.0
Net Income Common Stockholders,485000000.0,484000000.0,561000000.0,977000000.0
Otherunder Preferred Stock Dividend,-20000000.0,-19000000.0,-22000000.0,0.0
Net Income,465000000.0,465000000.0,539000000.0,977000000.0
Net Income Including Noncontrolling Interests,465000000.0,465000000.0,539000000.0,977000000.0
Net Income Continuous Operations,465000000.0,465000000.0,539000000.0,977000000.0
Tax Provision,133000000.0,168000000.0,189000000.0,348000000.0
Pretax Income,598000000.0,633000000.0,728000000.0,1325000000.0
Other Income Expense,-6000000.0,62000000.0,-205000000.0,22000000.0
Other Non Operating Income Expenses,1000000.0,2000000.0,-205000000.0,22000000.0
Special Income Charges,-2000000.0,0.0,-193000000.0,-28000000.0
Other Special Charges,2000000.0,,193000000.0,28000000.0
Gain On Sale Of Security,-7000000.0,60000000.0,-9000000.0,57000000.0
Net Non Operating Interest Income Expense,283000000.0,347000000.0,-84000000.0,-418000000.0
Interest Expense Non Operating,214000000.0,236000000.0,301000000.0,431000000.0
Interest Income Non Operating,497000000.0,583000000.0,217000000.0,13000000.0
Operating Income,321000000.0,224000000.0,1017000000.0,1721000000.0
Operating Expense,4138000000.0,3999000000.0,3735000000.0,2394000000.0
Other Operating Expenses,4138000000.0,3999000000.0,3735000000.0,2394000000.0
Gross Profit,4459000000.0,4223000000.0,4752000000.0,4115000000.0
Cost Of Revenue,23024000000.0,21868000000.0,19062000000.0,11675000000.0
Total Revenue,27483000000.0,26091000000.0,23814000000.0,15790000000.0
Operating Revenue,25155000000.0,23812000000.0,21585000000.0,14253000000.0
