,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,-1118300.0,16014600.0,2605284.227382,-2093221.800621
Tax Rate For Calcs,0.211,0.217,0.217107,0.225078
Normalized EBITDA,864700000.0,890300000.0,897800000.0,733100000.0
Total Unusual Items,-5300000.0,73800000.0,12000000.0,-9300000.0
Total Unusual Items Excluding Goodwill,-5300000.0,73800000.0,12000000.0,-9300000.0
Net Income From Continuing Operation Net Minority Interest,505000000.0,596100000.0,586900000.0,449400000.0
Reconciled Depreciation,175600000.0,152100000.0,119700000.0,103000000.0
Reconciled Cost Of Revenue,1823600000.0,1827000000.0,1755000000.0,1540300000.0
EBITDA,859400000.0,964100000.0,909800000.0,723800000.0
EBIT,683800000.0,812000000.0,790100000.0,620800000.0
Net Interest Income,-44500000.0,-51700000.0,-40700000.0,-41000000.0
Interest Expense,44500000.0,51700000.0,40700000.0,41000000.0
Normalized Income,509181700.0,538314600.0,577505284.227382,456606778.199379
Net Income From Continuing And Discontinued Operation,505000000.0,596100000.0,586900000.0,449400000.0
Total Expenses,2582300000.0,2530500000.0,2407700000.0,2118500000.0
Total Operating Income As Reported,677200000.0,732500000.0,751400000.0,637000000.0
Diluted Average Shares,75900000.0,75900000.0,76000000.0,76400000.0
Basic Average Shares,75700000.0,75600000.0,75700000.0,76000000.0
Diluted EPS,6.64,7.85,7.71,5.88
Basic EPS,6.66,7.87,7.74,5.91
Diluted NI Availto Com Stockholders,505000000.0,596100000.0,586900000.0,449400000.0
Net Income Common Stockholders,505000000.0,596100000.0,586900000.0,449400000.0
Net Income,505000000.0,596100000.0,586900000.0,449400000.0
Minority Interests,400000.0,500000.0,200000.0,100000.0
Net Income Including Noncontrolling Interests,504600000.0,595600000.0,586700000.0,449300000.0
Net Income Continuous Operations,504600000.0,595600000.0,586700000.0,449300000.0
Tax Provision,134700000.0,164700000.0,162700000.0,130500000.0
Pretax Income,639300000.0,760300000.0,749400000.0,579800000.0
Other Income Expense,-2700000.0,68600000.0,15900000.0,-25500000.0
Other Non Operating Income Expenses,2600000.0,-5200000.0,3900000.0,-16200000.0
Special Income Charges,-5300000.0,73800000.0,12000000.0,-9300000.0
Gain On Sale Of Business,4000000.0,84700000.0,34800000.0,0.0
Impairment Of Capital Assets,100000.0,800000.0,17400000.0,800000.0
Restructuring And Mergern Acquisition,9200000.0,10100000.0,5400000.0,8500000.0
Net Non Operating Interest Income Expense,-44500000.0,-51700000.0,-40700000.0,-41000000.0
Interest Expense Non Operating,44500000.0,51700000.0,40700000.0,41000000.0
Operating Income,686500000.0,743400000.0,774200000.0,646300000.0
Operating Expense,758700000.0,703500000.0,652700000.0,578200000.0
Selling General And Administration,758700000.0,703500000.0,652700000.0,578200000.0
Gross Profit,1445200000.0,1446900000.0,1426900000.0,1224500000.0
Cost Of Revenue,1823600000.0,1827000000.0,1755000000.0,1540300000.0
Total Revenue,3268800000.0,3273900000.0,3181900000.0,2764800000.0
Operating Revenue,3268800000.0,3273900000.0,3181900000.0,2764800000.0
