,2024-12-31,2023-12-31,2022-12-31,2021-12-31
Tax Effect Of Unusual Items,-576180.0,-963170.0,0.0,0.0
Tax Rate For Calcs,0.198,0.155,0.09,0.118
Normalized EBITDA,911469000.0,778001000.0,712604000.0,634626000.0
Total Unusual Items,-2910000.0,-6214000.0,-60000.0,12945000.0
Total Unusual Items Excluding Goodwill,-2910000.0,-6214000.0,-60000.0,12945000.0
Net Income From Continuing Operation Net Minority Interest,575692000.0,500412000.0,523710000.0,454627000.0
Reconciled Depreciation,142672000.0,132504000.0,114563000.0,106867000.0
Reconciled Cost Of Revenue,160895000.0,161306000.0,151800000.0,166330000.0
EBITDA,908559000.0,771787000.0,712604000.0,634626000.0
EBIT,765887000.0,639283000.0,598041000.0,527759000.0
Net Interest Income,3282000.0,-27557000.0,-17009000.0,-10327000.0
Interest Expense,47849000.0,47145000.0,22726000.0,12405000.0
Interest Income,51131000.0,19588000.0,5717000.0,2078000.0
Normalized Income,578025820.0,505662830.0,523710000.0,454627000.0
Net Income From Continuing And Discontinued Operation,575692000.0,500412000.0,523710000.0,454627000.0
Total Expenses,1826921000.0,1643814000.0,1472895000.0,1393444000.0
Total Operating Income As Reported,717888000.0,626135000.0,592658000.0,513271000.0
Diluted Average Shares,87895000.0,87386000.0,87490000.0,88102000.0
Basic Average Shares,87313000.0,86833000.0,87051000.0,87100000.0
Diluted EPS,6.55,5.73,5.99,5.16
Basic EPS,6.59,5.76,6.02,5.22
Diluted NI Availto Com Stockholders,575692000.0,500412000.0,523710000.0,454627000.0
Net Income Common Stockholders,575692000.0,500412000.0,523710000.0,454627000.0
Net Income,575692000.0,500412000.0,523710000.0,454627000.0
Net Income Including Noncontrolling Interests,575692000.0,500412000.0,523710000.0,454627000.0
Net Income Continuous Operations,575692000.0,500412000.0,523710000.0,454627000.0
Tax Provision,142346000.0,91726000.0,51605000.0,60727000.0
Pretax Income,718038000.0,592138000.0,575315000.0,515354000.0
Other Income Expense,-3132000.0,-6440000.0,-334000.0,12410000.0
Other Non Operating Income Expenses,-222000.0,-226000.0,-334000.0,12410000.0
Gain On Sale Of Security,-2910000.0,-6214000.0,-60000.0,12945000.0
Net Non Operating Interest Income Expense,3282000.0,-27557000.0,-17009000.0,-10327000.0
Interest Expense Non Operating,47849000.0,47145000.0,22726000.0,12405000.0
Interest Income Non Operating,51131000.0,19588000.0,5717000.0,2078000.0
Operating Income,717888000.0,626135000.0,592658000.0,513271000.0
Operating Expense,1547102000.0,1372516000.0,1222254000.0,1135460000.0
Depreciation Amortization Depletion Income Statement,23748000.0,22512000.0,15722000.0,15213000.0
Depreciation And Amortization In Income Statement,23748000.0,22512000.0,15722000.0,15213000.0
Amortization,23748000.0,22512000.0,15722000.0,15213000.0
Amortization Of Intangibles Income Statement,23748000.0,22512000.0,15722000.0,15213000.0
Research And Development,528014000.0,494869000.0,433661000.0,404870000.0
Selling General And Administration,995340000.0,855135000.0,772871000.0,715377000.0
Gross Profit,2264990000.0,1998651000.0,1814912000.0,1648731000.0
Cost Of Revenue,279819000.0,271298000.0,250641000.0,257984000.0
Total Revenue,2544809000.0,2269949000.0,2065553000.0,1906715000.0
Operating Revenue,2544809000.0,2269949000.0,2065553000.0,1906715000.0
