Attribute,Value
Symbol,CRWD
Name,"CrowdStrike Holdings, Inc."
Industry,Software - Infrastructure
Sector,Technology
Country,United States
Market Cap,109408247808
Description,"CrowdStrike Holdings, Inc. provides cybersecurity solutions in the United States and internationally. Its unified platform provides cloud-delivered protection of endpoints, cloud workloads, identity, and data through a software as a service (SaaS) subscription-based model. The company offers corporate endpoint and cloud workload security, managed security, security and vulnerability management, IT operations management, identity protection, threat intelligence, data protection, SaaS security posture management, and AI powered workflow automation, and securing generative AI workload services, as well as security orchestration, automation, and response; and security information and event management, and log management services. It primarily sells subscriptions to its Falcon platform and cloud modules. CrowdStrike Holdings, Inc. was incorporated in 2011 and is headquartered in Austin, Texas."
Website,https://www.crowdstrike.com
Full Time Employees,10118
Currency,USD
Previous Close,431.84
Open,435.03
Bid,413.28
Ask,458.29
Day's Range,431.82 - 440.89
52 Week Range,200.81 - 455.59
Volume,2113836
Avg. Volume,4378098
Market Cap (intraday),109408247808
Beta (5Y Monthly),1.219
PE Ratio (TTM),
EPS (TTM),-0.09
Earnings Date,1741122600
Forward Dividend & Yield,
Ex-Dividend Date,
1y Target Est,413.43866
