Attribute,Value
Symbol,PM
Name,Philip Morris International Inc
Industry,Tobacco
Sector,Consumer Defensive
Country,United States
Market Cap,265293266944
Description,"Philip Morris International Inc. operates as a tobacco company. The company offers cigarettes and smoke-free products, including heat-not-burn, vapor, and oral nicotine products under the IQOS and ZYN brands; and consumer accessories, such as lighters and matches. It also offers wellness and healthcare products. Philip Morris International Inc. was incorporated in 1987 and is headquartered in Stamford, Connecticut."
Website,https://www.pmi.com
Full Time Employees,83100
Currency,USD
Previous Close,169.14
Open,169.33
Bid,169.25
Ask,170.42
Day's Range,168.3672 - 170.6
52 Week Range,98.93 - 176.49
Volume,3802153
Avg. Volume,6785292
Market Cap (intraday),265293266944
Beta (5Y Monthly),0.523
PE Ratio (TTM),26.798742
EPS (TTM),6.36
Earnings Date,1753187400
Forward Dividend & Yield,5.4 (3.17)
Ex-Dividend Date,1742428800
1y Target Est,173.33
