Attribute,Value
Symbol,ABBV
Name,AbbVie Inc.
Industry,Drug Manufacturers - General
Sector,Healthcare
Country,United States
Market Cap,325052923904
Description,"AbbVie Inc., a research-based biopharmaceutical company, engages in the research and development, manufacture, commercialization, and sale of medicines and therapies worldwide. The company offers Humira, an injection for autoimmune and intestinal Behçet's diseases, generalized pustular psoriasis, and pyoderma gangrenosum; Skyrizi to treat autoimmune diseases, erythrodermic psoriasis, generalized pustular psoriasis, and palmoplantar pustulosis; Rinvoq to treat inflammatory diseases; Imbruvica for the treatment of adult patients with blood cancers; Venclexta/Venclyxto to treat blood cancers; Elahere to treat various cancer; and Epkinly to treat lymphoma. It also provides facial injectables, plastics and regenerative medicine, body contouring, and skincare products; botox therapeutic to treat neurologic diseases; Vraylar to treat schizophrenia, bipolar disorder, and depressive disorder; Duopa and Duodopa to treat Parkinson's disease; Ubrelvy to treat migraine; and Qulipta for episodic and chronic migraine, as well as other neuroscience products. In addition, the company offers Ozurdex for eye diseases; Lumigan/Ganfort and Alphagan/Combigan for the reduction of elevated intraocular pressure in patients with open angle glaucoma or ocular hypertension; Restasis to increase tear production; and other eye care products. Further, it provides Mavyret/Maviret to treat chronic hepatitis C virus genotype 1-6 infection; Creon, a pancreatic enzyme therapy; and Linzess/Constella to treat irritable bowel syndrome with constipation and chronic idiopathic constipation. The company was incorporated in 2012 and is headquartered in North Chicago, Illinois."
Website,https://www.abbvie.com
Full Time Employees,55000
Currency,USD
Previous Close,181.68
Open,181.3
Bid,182.03
Ask,184.0
Day's Range,180.52 - 184.07
52 Week Range,153.58 - 218.66
Volume,4923456
Avg. Volume,8130253
Market Cap (intraday),325052923904
Beta (5Y Monthly),0.551
PE Ratio (TTM),78.64103
EPS (TTM),2.34
Earnings Date,1745581383
Forward Dividend & Yield,6.56 (3.56)
Ex-Dividend Date,1744675200
1y Target Est,210.56705
