Attribute,Value
Symbol,CME
Name,CME Group Inc.
Industry,Financial Data & Stock Exchanges
Sector,Financial Services
Country,United States
Market Cap,99563593728
Description,"CME Group Inc., together with its subsidiaries, operates contract markets for the trading of futures and options on futures contracts worldwide. It offers futures and options products based on interest rates, equity indexes, foreign exchange, agricultural commodities, energy, and metals, as well as fixed income and foreign currency trading services. The company provides clearing house services, including clearing, settling, and guaranteeing futures and options contracts, and cleared swaps products traded through its exchanges; and trade processing and risk mitigation services. In addition, the company offers a range of market data services, including real-time and historical data services. It serves professional traders, financial institutions, institutional and individual investors, corporations, manufacturers, producers, governments, and central banks. The company was formerly known as Chicago Mercantile Exchange Holdings Inc. and changed its name to CME Group Inc. in July 2007. The company was founded in 1898 and is headquartered in Chicago, Illinois."
Website,https://www.cmegroup.com
Full Time Employees,3760
Currency,USD
Previous Close,274.0
Open,273.735
Bid,259.4
Ask,288.54
Day's Range,273.435 - 276.56
52 Week Range,190.7 - 286.48
Volume,1511992
Avg. Volume,2614774
Market Cap (intraday),99563593728
Beta (5Y Monthly),0.466
PE Ratio (TTM),27.767841
EPS (TTM),9.95
Earnings Date,1745406011
Forward Dividend & Yield,5.0 (1.81)
Ex-Dividend Date,1749427200
1y Target Est,271.11765
