Attribute,Value
Symbol,RCL
Name,Royal Caribbean Cruises Ltd.
Industry,Travel Services
Sector,Consumer Cyclical
Country,United States
Market Cap,69361852416
Description,"Royal Caribbean Cruises Ltd. operates as a cruise company worldwide. The company operates cruises under the Royal Caribbean International, Celebrity Cruises, and Silversea Cruises brands, which comprise a range of itineraries. As of February 12, 2025, it operated 67 ships. Royal Caribbean Cruises Ltd. was founded in 1968 and is headquartered in Miami, Florida."
Website,https://www.rclinvestor.com
Full Time Employees,105950
Currency,USD
Previous Close,250.11
Open,251.67
Bid,250.05
Ask,255.0
Day's Range,249.47 - 255.79
52 Week Range,130.08 - 277.08
Volume,1284867
Avg. Volume,2875750
Market Cap (intraday),69361852416
Beta (5Y Monthly),2.125
PE Ratio (TTM),20.78275
EPS (TTM),12.29
Earnings Date,1745922603
Forward Dividend & Yield,3.0 (1.17)
Ex-Dividend Date,1748995200
1y Target Est,264.26416
