Attribute,Value
Symbol,ZTS
Name,Zoetis Inc.
Industry,Drug Manufacturers - Specialty & Generic
Sector,Healthcare
Country,United States
Market Cap,72586706944
Description,"Zoetis Inc. engages in the discovery, development, manufacture, and commercialization of animal health medicines, vaccines, diagnostic products and services, biodevices, genetic tests, and precision animal health products in the United States and internationally. The company commercializes products primarily across species, including livestock, such as cattle, swine, poultry, fish, and sheep; and companion animals comprising dogs, cats, and horses. It also offers parasiticides, vaccines, dermatology, anti-infectives, pain and sedation, other pharmaceutical, and animal health diagnostics. In addition, the company provides animal health diagnostics, including point-of-care diagnostic products, instruments and reagents, rapid immunoassay tests, reference laboratory kits and services, and blood glucose monitors; and other non-pharmaceutical products, which include nutritionals, as well as products and services in biodevices, genetic tests, and precision animal health. It markets its products to veterinarians, livestock producers, and pet owners. The company has collaboration Blacksmith Medicines, Inc. to discover and develop novel antibiotics for animal health. Zoetis Inc. was founded in 1950 and is headquartered in Parsippany, New Jersey."
Website,https://www.zoetis.com
Full Time Employees,13800
Currency,USD
Previous Close,160.35
Open,161.36
Bid,151.72
Ask,163.46
Day's Range,160.26 - 163.2375
52 Week Range,139.7 - 200.33
Volume,2381929
Avg. Volume,3075485
Market Cap (intraday),72586706944
Beta (5Y Monthly),0.943
PE Ratio (TTM),29.218637
EPS (TTM),5.58
Earnings Date,1746529201
Forward Dividend & Yield,2.0 (1.23)
Ex-Dividend Date,1745193600
1y Target Est,194.43188
