Attribute,Value
Symbol,SPG
Name,"Simon Property Group, Inc."
Industry,REIT - Retail
Sector,Real Estate
Country,United States
Market Cap,62273191936
Description,"Simon Property Group, Inc. (NYSE:SPG) is a self-administered and self-managed real estate investment trust (REIT). Simon Property Group, L.P., or the Operating Partnership, is our majority-owned partnership subsidiary that owns all of our real estate properties and other assets. In this package, the terms Simon, we, our, or the Company refer to Simon Property Group, Inc., the Operating Partnership, and its subsidiaries. We own, develop and manage premier shopping, dining, entertainment and mixed-use destinations, which consist primarily of malls, Premium Outlets, The Mills, and International Properties. At December 31, 2024, we owned or had an interest in 229 properties comprising 183 million square feet in North America, Asia and Europe. We also owned an 88% interest in The Taubman Realty Group, or TRG, which owns 22 regional, super-regional, and outlet malls in the U.S. and Asia. Additionally, at December 31, 2024, we had a 22.4% ownership interest in Klepierre, a publicly traded, Paris-based real estate company, which owns shopping centers in 14 European countries."
Website,https://www.simon.com
Full Time Employees,2600
Currency,USD
Previous Close,163.03
Open,163.52
Bid,163.0
Ask,165.28
Day's Range,162.6 - 165.43
52 Week Range,136.34 - 190.14
Volume,941120
Avg. Volume,1859198
Market Cap (intraday),62273191936
Beta (5Y Monthly),1.462
PE Ratio (TTM),26.334927
EPS (TTM),6.27
Earnings Date,1747080305
Forward Dividend & Yield,8.4 (5.09)
Ex-Dividend Date,1749427200
1y Target Est,185.94444
