Attribute,Value
Symbol,GL
Name,Globe Life Inc.
Industry,Insurance - Life
Sector,Financial Services
Country,United States
Market Cap,10161448960
Description,"Globe Life Inc., through its subsidiaries, provides various life and supplemental health insurance products, and annuities to lower middle- and middle-income families in the United States. The company operates through three segments: Life Insurance, Supplemental Health Insurance, and Investments. It offers whole, term, and other life insurance products; and Medicare supplement and limited-benefit supplemental health insurance products, such as accident, cancer, critical illness, heart, intensive care, and other health products. The company sells its products through its direct-to-consumer division, exclusive agencies, and independent agents. The company was formerly known as Torchmark Corporation and changed its name to Globe Life Inc. in August 2019. Globe Life Inc. was founded in 1900 and is headquartered in McKinney, Texas."
Website,https://www.home.globelifeinsurance.com
Full Time Employees,3732
Currency,USD
Previous Close,120.57
Open,120.4
Bid,121.9
Ask,130.0
Day's Range,120.4 - 122.145
52 Week Range,76.55 - 133.76
Volume,706010
Avg. Volume,715069
Market Cap (intraday),10161448960
Beta (5Y Monthly),0.557
PE Ratio (TTM),9.940554
EPS (TTM),12.28
Earnings Date,1746044105
Forward Dividend & Yield,1.08 (0.88)
Ex-Dividend Date,1751500800
1y Target Est,140.45454
