Attribute,Value
Symbol,UNH
Name,UnitedHealth Group Incorporated
Industry,Healthcare Plans
Sector,Healthcare
Country,United States
Market Cap,264803237888
Description,"UnitedHealth Group Incorporated operates as a health care company in the United States and internationally. The company operates through four segments: UnitedHealthcare, Optum Health, Optum Insight, and Optum Rx. The UnitedHealthcare segment offers consumer-oriented health benefit plans and services for national employers, public sector employers, mid-sized employers, small businesses, and individuals; health care coverage, and health and well-being services to individuals age 50 and older; Medicaid plans, children's health insurance and health care programs; and health care benefits products and services to state programs caring for the economically disadvantaged, medically underserved, and those without the benefit of employer-funded health care coverage. The Optum Health segment provides care delivery, care management, wellness and consumer engagement, and health financial services patients, consumers, care delivery systems, providers, employers, payers, and public-sector entities. The Optum Insight segment offers software and information products, advisory consulting arrangements, and managed services outsourcing contracts to hospital systems, physicians, health plans, governments, life sciences companies, and other organizations. The Optum Rx segment provides pharmacy care services and programs, including retail network contracting, home delivery, specialty and community health pharmacy services, infusion, and purchasing and clinical capabilities, as well as develops programs in the areas of step therapy, formulary management, drug adherence, and disease and drug therapy management. UnitedHealth Group Incorporated was founded in 1974 and is based in Eden Prairie, Minnesota."
Website,https://www.unitedhealthgroup.com
Full Time Employees,400000
Currency,USD
Previous Close,274.35
Open,279.29
Bid,287.57
Ask,287.7
Day's Range,269.15 - 294.49
52 Week Range,248.88 - 630.73
Volume,68618029
Avg. Volume,11270058
Market Cap (intraday),264803237888
Beta (5Y Monthly),0.571
PE Ratio (TTM),12.224037
EPS (TTM),23.88
Earnings Date,1744883700
Forward Dividend & Yield,8.4 (2.88)
Ex-Dividend Date,1741564800
1y Target Est,431.36957
