Attribute,Value
Symbol,HCA
Name,"HCA Healthcare, Inc."
Industry,Medical Care Facilities
Sector,Healthcare
Country,United States
Market Cap,93227237376
Description,"HCA Healthcare, Inc., through its subsidiaries, owns and operates hospitals and related healthcare entities in the United States. It operates general and acute care hospitals that offers medical and surgical services, including inpatient care, intensive care, cardiac care, diagnostic, and emergency services; and outpatient services, such as outpatient surgery, laboratory, radiology, respiratory therapy, cardiology, and physical therapy. The company also operates outpatient health care facilities consisting of freestanding ambulatory surgery centers, freestanding emergency care facilities, urgent care facilities, walk-in clinics, diagnostic and imaging centers, rehabilitation and physical therapy centers, radiation and oncology therapy centers, physician practices, and various other facilities. In addition, it operates behavioral hospitals, which provide therapeutic programs comprising child, adolescent and adult psychiatric care, adolescent and adult alcohol, drug abuse treatment, and counseling services. The company was formerly known as HCA Holdings, Inc. HCA Healthcare, Inc. was founded in 1968 and is headquartered in Nashville, Tennessee."
Website,https://hcahealthcare.com
Full Time Employees,226000
Currency,USD
Previous Close,385.5
Open,386.46
Bid,387.76
Ask,387.53
Day's Range,380.97 - 388.09
52 Week Range,289.98 - 417.14
Volume,1381962
Avg. Volume,1677422
Market Cap (intraday),93227237376
Beta (5Y Monthly),1.468
PE Ratio (TTM),17.21546
EPS (TTM),22.51
Earnings Date,1745580600
Forward Dividend & Yield,2.88 (0.74)
Ex-Dividend Date,1750032000
1y Target Est,373.61136
