Attribute,Value
Symbol,BMY
Name,Bristol-Myers Squibb Company
Industry,Drug Manufacturers - General
Sector,Healthcare
Country,United States
Market Cap,95139987456
Description,"Bristol-Myers Squibb Company discovers, develops, licenses, manufactures, markets, distributes, and sells biopharmaceutical products worldwide. It offers products for oncology, hematology, immunology, cardiovascular, neuroscience, and other areas. The company's products include Eliquis for reduction in risk of stroke/systemic embolism in non-valvular atrial fibrillation and for the treatment of DVT/PE; Opdivo for various anti-cancer indications; Pomalyst/Imnovid for multiple myeloma; Orencia for active rheumatoid arthritis and psoriatic arthritis; and Sprycel to treat patients with Philadelphia chromosome-positive chronic myeloid leukemia. It also provides Yervoy for the treatment of patients with unresectable or metastatic melanoma; Empliciti for the treatment of relapsed/refractory multiple myeloma; Abecma for the treatment of patients with relapsed or refractory multiple myeloma; Reblozyl to treat anemia; Opdualag for the treatment of unresectable or metastatic melanoma; and Zeposia to treat relapsing forms of multiple sclerosis. In addition, the company offers Breyanzi for the treatment of patients with relapsed or refractory large B-cell lymphoma; Cobenfy to treat schizophrenia in adults; Krazati for the treatment of adult patients with KRASG12C-mutated locally advanced or metastatic non-small cell lung cancer (NSCLC); Camzyos to treat symptomatic obstructive HCM to improve functional capacity and symptom; Sotyktu for the treatment of moderate-to-severe plaque psoriasis; Augtyro for the treatment of locally advanced or metastatic ROS1-positive NSCLC; Revlimid, an oral immunomodulatory drug to treat multiple myeloma; and Abraxane for the treatment of breast cancer, NSCLC and pancreatic cancer. It sells products to wholesalers, distributors, pharmacies, retailers, hospitals, clinics, and government agencies. The company was formerly known as Bristol-Myers Company. Bristol-Myers Squibb Company was founded in 1887 and is headquartered in Princeton, New Jersey."
Website,https://www.bms.com
Full Time Employees,34100
Currency,USD
Previous Close,45.81
Open,45.99
Bid,46.7
Ask,46.84
Day's Range,45.8 - 46.795
52 Week Range,39.35 - 63.33
Volume,12093091
Avg. Volume,14801555
Market Cap (intraday),95139987456
Beta (5Y Monthly),0.4
PE Ratio (TTM),17.444029
EPS (TTM),2.68
Earnings Date,1753965000
Forward Dividend & Yield,2.48 (5.3)
Ex-Dividend Date,1743724800
1y Target Est,57.18682
