Attribute,Value
Symbol,KMB
Name,Kimberly-Clark Corporation
Industry,Household & Personal Products
Sector,Consumer Defensive
Country,United States
Market Cap,46145654784
Description,"Kimberly-Clark Corporation, together with its subsidiaries, manufactures and markets personal care products in the United States. It operates through three segments: North America, International Personal Care, and International Family Care and Professional. The company North America segment offers disposable diapers, training and youth pants, swimpants, baby wipes, feminine and incontinence care products, reusable underwear, facial and bathroom tissue, paper towels, napkins, wipers, tissue, towels, soaps and sanitizers, and other related products under the Huggies, Pull-Ups, GoodNites, Kotex, Poise, Depend, Kleenex, Scott, Cottonelle, Viva, Wypall, and other brand names. The International Personal Care segment provides baby and child care, adult care and feminine care, including disposable diapers, training and youth pants, swimpants, baby wipes, feminine and incontinence care products, reusable underwear, and other related products under the Huggies, Kotex, Goodfeel, Intimus, Depend and other brand names. The International Family Care and Professional segment offers facial and bathroom tissue, paper towels, napkins, wipers, tissue, towels, soaps and sanitizers, and other related products under the Kleenex, Scott, Viva, Andrex, Scottex, Wypall, and other brand names. It also sells household use products directly to supermarkets, mass merchandisers, drugstores, warehouse clubs, variety and department stores, and other retail outlets, as well as through other distributors and e-commerce; and professional use products directly to distributors, manufacturing, lodging, office building, food service, and public facilities, as well as through e-commerce. Kimberly-Clark Corporation was founded in 1872 and is headquartered in Dallas, Texas."
Website,https://www.kimberly-clark.com
Full Time Employees,38000
Currency,USD
Previous Close,137.35
Open,137.66
Bid,139.05
Ask,138.95
Day's Range,137.0408 - 139.35
52 Week Range,124.1 - 150.45
Volume,1629281
Avg. Volume,2328371
Market Cap (intraday),46145654784
Beta (5Y Monthly),0.372
PE Ratio (TTM),18.946867
EPS (TTM),7.34
Earnings Date,1745319606
Forward Dividend & Yield,5.04 (3.62)
Ex-Dividend Date,1749168000
1y Target Est,142.95947
