Attribute,Value
Symbol,EXPD
Name,Expeditors International of Was
Industry,Integrated Freight & Logistics
Sector,Industrials
Country,United States
Market Cap,16205057024
Description,"Expeditors International of Washington, Inc., together with its subsidiaries, provides logistics services in the Americas, North Asia, South Asia, Europe, and MAIR. The company offers airfreight services, such as air freight consolidation and forwarding; ocean freight and ocean services, including ocean freight consolidation, direct ocean forwarding, and order management; customs brokerage and other services, import, intra-continental ground transportation and delivery, and warehousing and distribution services; and customs clearance, purchase order management, vendor consolidation, time-definite transportation services, temperature-controlled transit, cargo insurance, specialized cargo monitoring and tracking, and other logistics solutions. It also provides optimization, trade compliance consulting, cargo insurance, cargo security, and solutions. In addition, it acts as a freight consolidator or as an agent for the airline that carries the shipment. Further, the company provides ancillary services that include preparation of shipping and customs documentation, packing, crating, insurance services, and the preparation of documentation to comply with local import and export laws. Its customers include retailing and wholesaling; electronics; healthcare; technology; and industrial and manufacturing companies. The company was incorporated in 1979 and is headquartered in Bellevue, Washington."
Website,https://www.expeditors.com
Full Time Employees,19203
Currency,USD
Previous Close,115.0
Open,115.71
Bid,118.1
Ask,118.16
Day's Range,115.47 - 118.4
52 Week Range,100.47 - 131.59
Volume,3289553
Avg. Volume,1677309
Market Cap (intraday),16205057024
Beta (5Y Monthly),1.087
PE Ratio (TTM),19.656147
EPS (TTM),6.02
Earnings Date,1754397000
Forward Dividend & Yield,1.54 (1.3)
Ex-Dividend Date,1748822400
1y Target Est,107.57143
