Attribute,Value
Symbol,CL
Name,Colgate-Palmolive Company
Industry,Household & Personal Products
Sector,Consumer Defensive
Country,United States
Market Cap,73934618624
Description,"Colgate-Palmolive Company, together with its subsidiaries, manufactures and sells consumer products in the United States and internationally. It operates through two segments: Oral, Personal and Home Care; and Pet Nutrition. The Oral, Personal and Home Care segment offers toothpaste, toothbrushes, mouthwash, bar and liquid hand soaps, shower gels, shampoos, conditioners, deodorants and antiperspirants, skin health products, dishwashing detergents, fabric conditioners, household cleaners, and other related items. This segment markets and sells its products under the Colgate, Palmolive, Darlie, elmex, hello, meridol, Sorriso, Tom's of Maine, EltaMD, Filorga, Irish Spring, Protex, Sanex, Softsoap, Lady Speed Stick, Speed Stick, PCA SKIN, Ajax, Axion, Fabuloso, Murphy, Suavitel, and Soupline brands to a range of traditional and eCommerce retailers, wholesalers, and distributors, as well as dentists and skin health professionals. It also offers pharmaceutical products for dentists and other oral health professionals. The Pet Nutrition segment offers pet nutrition products for everyday nutritional needs under the Hill's Science Diet brand; and a range of therapeutic pet products to help nutritionally support dogs and cats in different stages of health under the Hill's Prescription Diet brand. This segment markets and sells its products through pet supply retailers, veterinarians, and eCommerce retailers. Colgate-Palmolive Company was founded in 1806 and is headquartered in New York, New York."
Website,https://www.colgatepalmolive.com
Full Time Employees,34000
Currency,USD
Previous Close,89.63
Open,90.0
Bid,91.21
Ask,92.3
Day's Range,89.6 - 91.36
52 Week Range,85.32 - 109.3
Volume,4649946
Avg. Volume,5561436
Market Cap (intraday),73934618624
Beta (5Y Monthly),0.392
PE Ratio (TTM),25.844194
EPS (TTM),3.53
Earnings Date,1745578800
Forward Dividend & Yield,2.08 (2.28)
Ex-Dividend Date,1744848000
1y Target Est,98.77048
