Attribute,Value
Symbol,GEHC
Name,GE HealthCare Technologies Inc.
Industry,Health Information Services
Sector,Healthcare
Country,United States
Market Cap,33485127680
Description,"GE HealthCare Technologies Inc. engages in the development, manufacture, and marketing of products, services, and complementary digital solutions used in the diagnosis, treatment, and monitoring of patients in the United States, Canada, and internationally. The company operates through four segments: Imaging, Advanced Visualization Solutions (AVS), Patient Care Solutions (PCS), and Pharmaceutical Diagnostics (PDx). The Imaging segment offers molecular imaging, computed tomography (CT) scanning, magnetic resonance (MR) imaging, image-guided therapy, X-ray systems, and women's health products. The AVS segment provides ultrasound, image guided therapies, and interventional solutions for screening, diagnosis, treatment, and monitoring of certain diseases in clinical areas, such as women's health, cardiovascular, and comprehensive care ultrasound as well as surgical visualization and guidance products. The PCS segment provides medical devices, consumables, services, and digital solutions. Its portfolio includes patient monitoring, diagnostic cardiology, consumables and services, digital solutions, maternal infant care, and anesthesia products. The PDx segment supplies diagnostic agents, including CT, angiography and X-ray, MR, single-photon emission computed tomography, and positron emission tomography to the radiology and nuclear medicine industries. The segment also provides contrast media pharmaceuticals that are administered to a patient prior to certain diagnostic scans to increase the visibility of tissues or structures during imaging exams; and molecular imaging agents or radiopharmaceuticals, which are molecular tracers labeled with radioisotopes. The company was formerly known as GE Healthcare Holding LLC and changed its name to GE HealthCare Technologies Inc. in December 2022. The company was incorporated in 2022 and is headquartered in Chicago, Illinois."
Website,https://www.gehealthcare.com
Full Time Employees,53000
Currency,USD
Previous Close,72.91
Open,72.9
Bid,66.41
Ask,78.08
Day's Range,72.045 - 73.23
52 Week Range,57.65 - 94.8
Volume,3290185
Avg. Volume,4974823
Market Cap (intraday),33485127680
Beta (5Y Monthly),1.377
PE Ratio (TTM),15.363444
EPS (TTM),4.76
Earnings Date,1746008400
Forward Dividend & Yield,0.14 (0.19)
Ex-Dividend Date,1745539200
1y Target Est,87.253
