Attribute,Value
Symbol,CI
Name,The Cigna Group
Industry,Healthcare Plans
Sector,Healthcare
Country,United States
Market Cap,85736873984
Description,"The Cigna Group, together with its subsidiaries, provides insurance and related products and services in the United States. Its Evernorth Health Services segment provides a range of coordinated and point solution health services, including pharmacy benefits, home delivery pharmacy, specialty pharmacy, distribution, and care delivery and management solutions to health plans, employers, government organizations, and health care providers. The company's Cigna Healthcare segment offers medical, pharmacy, behavioral health, dental, and other products and services for insured and self-insured customers; Medicare Advantage, Medicare Supplement, and Medicare Part D plans for seniors, as well as individual health insurance plans; and health care coverage in its international markets, as well as health care benefits for mobile individuals and employees of multinational organizations. In addition, it offers permanent insurance contracts sold to corporations to provide coverage on the lives of certain employees for financing employer-paid future benefit obligations and stop loss insurance. The company distributes its products and services through insurance brokers and consultants; directly to employers, unions and other groups, or individuals; and private and public exchanges. The company was formerly known as Cigna Corporation and changed its name to The Cigna Group in February 2023. The company was founded in 1792 and is headquartered in Bloomfield, Connecticut."
Website,https://www.cigna.com
Full Time Employees,71295
Currency,USD
Previous Close,308.86
Open,309.4
Bid,305.0
Ask,320.93
Day's Range,307.78 - 320.95
52 Week Range,262.03 - 370.83
Volume,2055825
Avg. Volume,1865984
Market Cap (intraday),85736873984
Beta (5Y Monthly),0.482
PE Ratio (TTM),17.889631
EPS (TTM),17.94
Earnings Date,1746180005
Forward Dividend & Yield,6.04 (1.88)
Ex-Dividend Date,1748908800
1y Target Est,375.13126
