Attribute,Value
Symbol,VTR
Name,"Ventas, Inc."
Industry,REIT - Healthcare Facilities
Sector,Real Estate
Country,United States
Market Cap,29618685952
Description,"Ventas, Inc. (NYSE: VTR) is a leading S&P 500 real estate investment trust enabling exceptional environments that benefit a large and growing aging population. With approximately 1,350 properties in North America and the United Kingdom, Ventas occupies an essential role in the longevity economy. The Company's growth is fueled by its over 800 senior housing communities, which provide valuable services to residents and enable them to thrive in supported environments. The Ventas portfolio also includes outpatient medical buildings, research centers and healthcare facilities. The Company aims to deliver outsized performance by leveraging its unmatched operational expertise, data-driven insights from its Ventas OI platform, extensive relationships and strong financial position. Ventas's seasoned team of talented professionals shares a commitment to excellence, integrity and a common purpose of helping people live longer, healthier, happier lives."
Website,https://www.ventasreit.com
Full Time Employees,498
Currency,USD
Previous Close,64.83
Open,64.98
Bid,65.41
Ask,65.41
Day's Range,64.63 - 65.805
52 Week Range,46.66 - 71.36
Volume,4810633
Avg. Volume,3384353
Market Cap (intraday),29618685952
Beta (5Y Monthly),0.974
PE Ratio (TTM),198.87877
EPS (TTM),0.33
Earnings Date,1746043800
Forward Dividend & Yield,1.92 (2.93)
Ex-Dividend Date,1751241600
1y Target Est,75.94737
