Attribute,Value
Symbol,MMC
Name,"Marsh & McLennan Companies, Inc"
Industry,Insurance Brokers
Sector,Financial Services
Country,United States
Market Cap,114012332032
Description,"Marsh & McLennan Companies, Inc., a professional services company, provides advisory services and insurance solutions to clients in the areas of risk, strategy, and people worldwide. It operates through Risk and Insurance Services, and Consulting segments. The Risk and Insurance Services segment offers risk management services, such as risk advice, risk transfer, and risk control and mitigation solutions, as well as insurance and reinsurance broking, strategic advisory services, and analytics solutions, and insurance program management services. It serves businesses, public entities, insurance companies, associations, professional services organizations, and private clients. The Consulting segment provides health, wealth and career advice, solutions and products; and specialized management, strategic, economic, and brand consulting services. Marsh & McLennan Companies, Inc. was founded in 1871 and is headquartered in New York, New York."
Website,https://www.marshmclennan.com
Full Time Employees,90000
Currency,USD
Previous Close,227.24
Open,227.55
Bid,221.0
Ask,236.97
Day's Range,226.8 - 231.895
52 Week Range,201.77 - 248.0
Volume,2422417
Avg. Volume,2249736
Market Cap (intraday),114012332032
Beta (5Y Monthly),0.846
PE Ratio (TTM),28.426289
EPS (TTM),8.14
Earnings Date,1744887600
Forward Dividend & Yield,3.26 (1.41)
Ex-Dividend Date,1743638400
1y Target Est,233.06367
