Attribute,Value
Symbol,ANSS
Name,"ANSYS, Inc."
Industry,Software - Application
Sector,Technology
Country,United States
Market Cap,30474356736
Description,"ANSYS, Inc. develops and markets engineering simulation software and services for engineers, designers, researchers, and students. It offers structural analysis product suite that provides simulation tools for product design and optimization; the Ansys Mechanical product, an element analysis software; LS-DYNA solver for multiphysics simulation; and power analysis and optimization software suite. The company also offers electronics product suite that provides electromagnetic field simulation software for designing electronic and electromechanical products; Ansys High Frequency Structure Simulator product for radio frequency and microwave design; SCADE product suite, a solution for embedded software simulation, code production, and automated certification; fluids product suite that enables modeling of fluid flow and other related physical phenomena; Ansys Fluent computational fluid dynamics software package; Ansys RedHawk-SC, an electronic design automation (EDA) software tool; Ansys Optics software; and mission-simulation, modeling, testing, and analysis software. In addition, it offers Ansys Granta MI system for materials information management; Ansys Granta Selector technology for materials selection and graphical analysis of materials properties; CES EduPack product, a set of teaching resources; Granta Materials Data for Simulation; Ansys Lumerical product, a photonics simulation software solution; safety-certified embedded software solutions; design exploration tools; and academic product suite for research and teaching settings. The company serves high-tech, aerospace and defense, automotive, energy, industrial equipment, materials and chemicals, consumer products, healthcare, and construction industries. It has operations in the United States, Japan, Germany, China, Hong Kong, South Korea, rest of Europe, the Middle East, Africa, and internationally. The company was founded in 1970 and is headquartered in Canonsburg, Pennsylvania."
Website,https://www.ansys.com
Full Time Employees,6600
Currency,USD
Previous Close,343.52
Open,344.23
Bid,314.07
Ask,369.7
Day's Range,341.355 - 346.9
52 Week Range,275.06 - 363.03
Volume,698824
Avg. Volume,614122
Market Cap (intraday),30474356736
Beta (5Y Monthly),1.214
PE Ratio (TTM),51.58185
EPS (TTM),6.72
Earnings Date,1746045001
Forward Dividend & Yield,
Ex-Dividend Date,
1y Target Est,347.7143
