Attribute,Value
Symbol,JBL
Name,Jabil Inc.
Industry,Electronic Components
Sector,Technology
Country,United States
Market Cap,18011416576
Description,"Jabil Inc. provides manufacturing services and solutions worldwide. It operates in two segments, Electronics Manufacturing Services and Diversified Manufacturing Services. The company offers electronics design, production, and product management services; electronic circuit design services, such as application-specific integrated circuit design, firmware development, and rapid prototyping services; and designs plastic and metal enclosures that include the electro-mechanics, such as the printed circuit board assemblies (PCBA). It also provides three-dimensional mechanical design comprising the analysis of electronic, electro-mechanical, and optical assemblies, as well as various industrial design, mechanism development, and tooling management services. In addition, the company provides computer-assisted design services consisting of PCBA design, as well as PCBA design validation and verification services; and other consulting services, such as the generation of a bill of materials, approved vendor list, and assembly equipment configuration for various PCBA designs. Further, it offers product and process validation services, such as product system, product safety, regulatory compliance, and reliability tests, as well as manufacturing test solution development services. Additionally, the company provides systems assembly, test, direct-order fulfillment, and configure-to-order services. It serves 5G, wireless and cloud, digital print and retail, industrial and semi-cap, networking and storage, automotive and transportation, connected devices, healthcare and packaging, and mobility industries. The company was formerly known as Jabil Circuit, Inc. and changed its name to Jabil Inc. in June 2017. Jabil Inc. was founded in 1966 and is headquartered in Saint Petersburg, Florida."
Website,https://www.jabil.com
Full Time Employees,138000
Currency,USD
Previous Close,166.53
Open,166.21
Bid,156.92
Ask,169.0
Day's Range,165.49 - 168.11
52 Week Range,95.85 - 174.8
Volume,827516
Avg. Volume,1419960
Market Cap (intraday),18011416576
Beta (5Y Monthly),1.113
PE Ratio (TTM),37.70562
EPS (TTM),4.45
Earnings Date,1742471100
Forward Dividend & Yield,0.32 (0.19)
Ex-Dividend Date,1747267200
1y Target Est,167.13875
