Attribute,Value
Symbol,TXT
Name,Textron Inc.
Industry,Aerospace & Defense
Sector,Industrials
Country,United States
Market Cap,13843731456
Description,"Textron Inc. operates in the aircraft, defense, industrial, and finance businesses worldwide. It operates in six segments: Textron Aviation, Bell, Textron Systems, Industrial, Textron eAviation, and Finance. The Textron Aviation segment manufactures, sells, and services business jets, turboprop and piston engine aircraft, and military trainer and defense aircraft; and offers maintenance, inspection, and repair services, as well as sells commercial parts. The Bell segment supplies military and commercial helicopters, tiltrotor aircrafts, and related spare parts and services. The Textron Systems segment offers unmanned aircraft systems, electronic systems and solutions, advanced marine crafts, piston aircraft engines, live military air-to-air and air-to-ship training, weapons and related components, and armored and specialty vehicles. The Industrial segment offers blow-molded solutions, including conventional plastic fuel tanks and pressurized fuel tanks for hybrid vehicle applications, clear-vision systems, plastic tanks for catalytic reduction systems, and battery housing systems for use in electric vehicles primarily to automobile original equipment manufacturers (OEMs); and golf cars, off-road utility vehicles, powersports products, light transportation vehicles, aviation ground support equipment, professional turf-maintenance equipment, and turf-care vehicles to golf courses and resorts, government agencies and municipalities, consumers, outdoor enthusiasts, and commercial and industrial users. The Textron eAviation segment manufactures and sells light aircraft and gliders with electric and combustion engines; and provides other research and development initiatives related to sustainable aviation solutions. The Finance segment offers financing services to purchase new and pre-owned aviation aircraft and Bell helicopters. Textron Inc. was founded in 1923 and is headquartered in Providence, Rhode Island."
Website,https://www.textron.com
Full Time Employees,34000
Currency,USD
Previous Close,76.0
Open,76.28
Bid,76.64
Ask,76.66
Day's Range,75.39 - 76.77
52 Week Range,57.7 - 94.57
Volume,1117976
Avg. Volume,1611642
Market Cap (intraday),13843731456
Beta (5Y Monthly),1.205
PE Ratio (TTM),17.27027
EPS (TTM),4.44
Earnings Date,1745490600
Forward Dividend & Yield,0.08 (0.1)
Ex-Dividend Date,1749772800
1y Target Est,84.80294
