Attribute,Value
Symbol,MET
Name,"MetLife, Inc."
Industry,Insurance - Life
Sector,Financial Services
Country,United States
Market Cap,54261018624
Description,"MetLife, Inc., a financial services company, provides insurance, annuities, employee benefits, and asset management services worldwide. It operates in six segments: Group Benefits; Retirement and Income Solutions; Asia; Latin America; Europe, the Middle East and Africa; and MetLife Holdings. The company offers life, dental, group short-and long-term disability, paid family and medical leave, individual disability, accidental death and dismemberment, accident and health, vision, and pet insurance, as well as prepaid legal plans; administrative services-only arrangements to employers; and general and separate account, and synthetic guaranteed interest contracts, as well as private floating rate funding agreements. It also provides pension risk transfers, institutional income annuities, structured settlements, and capital markets investment products; and other products and services, such as life insurance products and funding agreements for funding postretirement benefits, as well as company, bank, or trust-owned life insurance used to finance nonqualified benefit programs for executives. In addition, it offers fixed, indexed-linked, and variable annuities; pension products; regular savings products; whole and term life, endowments, universal and variable life, and group life products; longevity and funded reinsurance solutions; credit insurance products; accident & health products covering hospitalization, cancer, critical illness, income protection, and scheduled medical reimbursement plans; and protection against long-term health care services. MetLife, Inc. was incorporated in 1999 and is based in New York, New York."
Website,https://www.metlife.com
Full Time Employees,45000
Currency,USD
Previous Close,80.46
Open,80.49
Bid,80.8
Ask,82.62
Day's Range,79.96 - 81.0675
52 Week Range,65.21 - 89.05
Volume,2976499
Avg. Volume,3716850
Market Cap (intraday),54261018624
Beta (5Y Monthly),0.832
PE Ratio (TTM),13.207517
EPS (TTM),6.12
Earnings Date,1746044100
Forward Dividend & Yield,2.27 (2.81)
Ex-Dividend Date,1746489600
1y Target Est,90.85714
