Attribute,Value
Symbol,IFF
Name,International Flavors & Fragran
Industry,Specialty Chemicals
Sector,Basic Materials
Country,United States
Market Cap,19879999488
Description,"International Flavors & Fragrances Inc., together with its subsidiaries, manufactures and markets food, beverage, health and biosciences, scent, pharma solutions, and complementary adjacent products in the United States, Europe, and internationally. It operates in four segments Nourish, Health & Biosciences, Scent, and Pharma Solutions. The Nourish segment consists of portfolio of natural-based ingredients that includes plant-based specialty food ingredients, such as soy and pea protein with value-added formulations, emulsifiers, and sweeteners; food protection ingredients, including natural antioxidants, and anti-microbials for natural food preservation and shelf-life extension; savory solutions, such as spices, marinades, and mixtures; combining flavourings with fruits, vegetables, and other natural ingredients products; a range of flavor compounds used in savory products, such as soups, sauces, meat, fish, poultry, and snacks; and beverages juice drinks, carbonated or flavored beverages, and spirits, as well as sweets bakery products, candy, cereal, and chewing gum; and dairy products, such as yogurt, ice cream, and cheese, as well as spices and seasoning ingredients. Its Health & Biosciences is comprised of health, cultures and food enzymes, home and personal care, animal nutrition, and grain processing. The Scent segment creates fragrance compounds, and fragrance ingredients. Its Pharma Solutions segment produces cellulosics and seaweed-based pharmaceutical excipients. The company was incorporated in 1909 and is headquartered in New York, New York."
Website,https://www.iff.com
Full Time Employees,22400
Currency,USD
Previous Close,76.13
Open,76.36
Bid,72.9
Ask,77.56
Day's Range,76.18 - 77.74
52 Week Range,65.85 - 106.77
Volume,1384469
Avg. Volume,1987914
Market Cap (intraday),19879999488
Beta (5Y Monthly),1.096
PE Ratio (TTM),
EPS (TTM),-3.26
Earnings Date,1746562800
Forward Dividend & Yield,1.6 (2.06)
Ex-Dividend Date,1750377600
1y Target Est,91.606
