Attribute,Value
Symbol,AXON
Name,"Axon Enterprise, Inc."
Industry,Aerospace & Defense
Sector,Industrials
Country,United States
Market Cap,57076744192
Description,"Axon Enterprise, Inc. develops, manufactures, and sells conducted energy devices (CEDs) under the TASER brand in the United States and internationally. It operates through two segments, Software and Sensors, and TASER. The company also offers hardware and cloud-based software solutions that enable law enforcement to capture, securely store, manage, share, and analyze video and other digital evidence. Its products include axon officer safety plan; taser 10, taser7, taser X26P, taser X2, taser 7 CQ, and civilian series; cameras, such as axon body, axon flex, axon fleet, axon air, axon signal sidearm, axon signal vehicle, axon interview, and axon interview portable kit; software, including axon records, evidence, standards, commander, performance, auto-transcribe, justice, investigate, respond, and justice, my90, and redaction assistant; mobile applications, and training services, as well as hardware extended warranties; and Axon docks, cartridges, and batteries. The company sells its products through its direct sales, distribution partners, online store, and third-party resellers. Axon Enterprise, Inc. has a strategic partnership with Fusus, Inc. to expand bility to aggregate live video, data, and sensor feeds. It serves law enforcement, federal, correction, fire, EMS, campus, justice healthcare, retail, private security, and personal safety industries. The company was formerly known as TASER International, Inc. and changed its name to Axon Enterprise, Inc. in April 2017. Axon Enterprise, Inc. was incorporated in 1993 and is headquartered in Scottsdale, Arizona."
Website,https://www.axon.com
Full Time Employees,4100
Currency,USD
Previous Close,728.39
Open,732.0
Bid,733.08
Ask,734.74
Day's Range,724.7408 - 735.4
52 Week Range,273.52 - 735.68
Volume,417833
Avg. Volume,853042
Market Cap (intraday),57076744192
Beta (5Y Monthly),1.24
PE Ratio (TTM),175.40192
EPS (TTM),4.18
Earnings Date,1746648064
Forward Dividend & Yield,
Ex-Dividend Date,
1y Target Est,701.1043
