Attribute,Value
Symbol,TRGP
Name,"Targa Resources, Inc."
Industry,Oil & Gas Midstream
Sector,Energy
Country,United States
Market Cap,35943464960
Description,"Targa Resources Corp., together with its subsidiary, Targa Resources Partners LP, owns, operates, acquires, and develops a portfolio of complementary domestic infrastructure assets in North America. It operates in two segments, Gathering and Processing, and Logistics and Transportation. The company is involved in gathering, compressing, treating, processing, transporting, and selling natural gas; storing, fractionating, treating, transporting, and selling natural gas liquids (NGL) and NGL products, including services to liquefied petroleum gas exporters; and gathering, storing, terminaling, purchasing, and selling crude oil. It is also involved in the purchase and resale of NGL products; and sale of propane, as well as provision of related logistics services to multi-state retailers, independent retailers, and other end-users. In addition, the company offers NGL balancing services; and transportation services to refineries and petrochemical companies in the Gulf Coast area, as well as purchases, markets, and resells natural gas. As of December 31, 2024, it leased and managed approximately 531 railcars; 131 tractors; and 6 vacuum trucks and 2 pressurized NGL barges, as well as owns 8 tractors. Targa Resources Corp. was incorporated in 2005 and is headquartered in Houston, Texas."
Website,https://www.targaresources.com
Full Time Employees,3370
Currency,USD
Previous Close,166.45
Open,166.69
Bid,160.0
Ask,173.31
Day's Range,164.07 - 167.94
52 Week Range,113.65 - 218.51
Volume,2062432
Avg. Volume,2289953
Market Cap (intraday),35943464960
Beta (5Y Monthly),1.22
PE Ratio (TTM),30.513813
EPS (TTM),5.43
Earnings Date,1746093637
Forward Dividend & Yield,4.0 (2.41)
Ex-Dividend Date,1745971200
1y Target Est,203.74524
