Attribute,Value
Symbol,ELV
Name,"Elevance Health, Inc."
Industry,Healthcare Plans
Sector,Healthcare
Country,United States
Market Cap,91117330432
Description,"Elevance Health, Inc., together with its subsidiaries, operates as a health benefits company in the United States. It operates in four segments: Health Benefits, CarelonRx, Carelon Services, and Corporate & Other. The company offers a variety of health plans and services to individual, employer group risk-based and fee-based, BlueCard, Medicare, Medicaid, and FEP members; health products; a broad array of fee-based administrative managed care services; and specialty and other insurance products and services, such as stop loss, dental, vision, and supplemental health insurance benefits. It also operates in the pharmacy services business; and markets and offers pharmacy services, including home delivery and specialty pharmacies, claims adjudication, formulary management, pharmacy networks, rebate administration, a prescription drug database, and member services, as well as infusion services and injectable therapies through ambulatory infusion centers. In addition, the company provides healthcare related services and capabilities, including specialty care enablement and utilization management support for specialized clinical domains; behavioral health and comprehensive care management services; palliative care services and management; virtual care; and payment integrity, subrogation, clinical data exchange through its HealthOS platform, research and data, reporting and clinical analytics, information technology, and business process support services, as well as manages home health, post-acute institutional management, and durable medical equipment costs; and supports plans in managing home and community-based services. It provides its services under the Anthem Blue Cross and Blue Shield, Wellpoint, and Carelon brands. The company was formerly known as Anthem, Inc. and changed its name to Elevance Health, Inc. in June 2022. Elevance Health, Inc. was incorporated in 2001 and is headquartered in Indianapolis, Indiana."
Website,https://www.elevancehealth.com
Full Time Employees,104200
Currency,USD
Previous Close,390.0
Open,391.31
Bid,401.67
Ask,403.0
Day's Range,390.125 - 403.39
52 Week Range,357.45 - 567.26
Volume,2542569
Avg. Volume,1749880
Market Cap (intraday),91117330432
Beta (5Y Monthly),0.665
PE Ratio (TTM),15.698326
EPS (TTM),25.69
Earnings Date,1745316000
Forward Dividend & Yield,6.84 (1.7)
Ex-Dividend Date,1749513600
1y Target Est,505.43842
