Attribute,Value
Symbol,RMD
Name,ResMed Inc.
Industry,Medical Instruments & Supplies
Sector,Healthcare
Country,United States
Market Cap,36904550400
Description,"ResMed Inc. develops, manufactures, distributes, and markets medical devices and cloud-based software applications for the healthcare markets. The company operates in two segments, Sleep and Respiratory Care, and Software as a Service. It offers various products and solutions for a range of respiratory disorders, including ApneaLink Air, a portable diagnostic device that measures oximetry, respiratory effort, pulse, nasal flow, and snoring; and NightOwl, a portable, cloud-connected, and disposable diagnostic device that measures AHI based on derived peripheral arterial tone, actigraphy, and oximetry over several nights. The company also provides AirView, a cloud-based system that enables remote monitoring and changing of patients' device settings; myAir, a personalized therapy management application for patients with sleep apnea that provides support, education, and troubleshooting tools for increased patient engagement and improved compliance; U-Sleep, a compliance monitoring solution that enables home medical equipment (HME) to streamline their sleep programs; connectivity module and propeller solutions; and Propeller portal. It offers out-of-hospital software solution, such as Brightree business management software and service solutions to providers of HME, pharmacy, home infusion, orthotics, and prosthetics services; MatrixCare care management and related ancillary solutions to senior living, skilled nursing, life plan communities, home health, home care, and hospice organizations, as well as related accountable care organizations; HEALTHCAREfirst that offers electronic health record, software, billing and coding services, and analytics for home health and hospice agencies; and MEDIFOX DAN's software solutions. The company markets its products to sleep clinics, home healthcare dealers, and hospitals through a network of distributors and direct sales force. ResMed Inc. was founded in 1989 and is headquartered in San Diego, California."
Website,https://www.resmed.co.in
Full Time Employees,
Currency,USD
Previous Close,248.58
Open,249.24
Bid,242.92
Ask,250.0
Day's Range,247.7569 - 251.94
52 Week Range,179.42 - 263.05
Volume,839602
Avg. Volume,1102287
Market Cap (intraday),36904550400
Beta (5Y Monthly),0.783
PE Ratio (TTM),28.248037
EPS (TTM),8.91
Earnings Date,1745438701
Forward Dividend & Yield,2.12 (0.84)
Ex-Dividend Date,1746662400
1y Target Est,264.488
