Attribute,Value
Symbol,V
Name,Visa Inc.
Industry,Credit Services
Sector,Financial Services
Country,United States
Market Cap,699449409536
Description,"Visa Inc. operates as a payment technology company in the United States and internationally. The company operates VisaNet, a transaction processing network that enables authorization, clearing, and settlement of payment transactions. It also offers credit, debit, and prepaid card products; tap to pay, tokenization, and click to pay services; Visa Direct, a solution that facilitates the delivery of funds to eligible cards, bank accounts, and digital wallets; Visa B2B Connect, a multilateral business-to-business cross-border payments network; Visa Cross-Border Solution, a cross-border consumer payments solution; and Visa DPS that provides a range of value-added services, including fraud mitigation, dispute management, data analytics, campaign management, a suite of digital solutions, and contact center services. The company also provides acceptance solutions, which include Cybersource and Authorize.net that provides new and enhanced payment integrations with ecommerce platforms, enabling sellers and acquirers to offer tailored commerce experiences; risk and identity solutions, such as Visa Advanced Authorization, Visa Secure, Visa Consumer Authentication Service, Visa Protect Authentication Intelligence, and Visa Provisioning Intelligence; and Visa Consulting and Analytics, a payment consulting advisory services. It provides its services under the Visa, Visa Electron, Interlink, V PAY, and PLUS brands. The company serves merchants, financial institutions, and government entities. Visa Inc. was founded in 1958 and is headquartered in San Francisco, California."
Website,https://www.visa.com
Full Time Employees,
Currency,USD
Previous Close,362.3
Open,362.95
Bid,363.55
Ask,365.25
Day's Range,360.95 - 366.19
52 Week Range,252.7 - 366.54
Volume,5813598
Avg. Volume,7091153
Market Cap (intraday),699449409536
Beta (5Y Monthly),0.955
PE Ratio (TTM),36.621864
EPS (TTM),9.97
Earnings Date,1745957100
Forward Dividend & Yield,2.36 (0.65)
Ex-Dividend Date,1747094400
1y Target Est,375.9718
