Attribute,Value
Symbol,ALL
Name,Allstate Corporation (The)
Industry,Insurance - Property & Casualty
Sector,Financial Services
Country,United States
Market Cap,55362850816
Description,"The Allstate Corporation, together with its subsidiaries, provides property and casualty, and other insurance products in the United States and Canada. It operates in five segments: Allstate Protection; Run-off Property-Liability; Protection Services; Allstate Health and Benefits; and Corporate and Other. The company offers private passenger auto, homeowners, personal lines, and commercial insurance products through agents, contact centers, and online; and property and casualty insurance products. It also provides consumer product protection plans, device and mobile data collection services, and analytic solutions using automotive telematics information, roadside assistance, and protection plans; and insurance products, such as identity protection and restoration through Allstate Protection Plans, Allstate Dealer Services, Allstate Roadside, Arity, and Allstate Identity Protection brands. In addition, the company offers life, accident, critical illness, hospital indemnity, short-term disability, and other health insurance products; self-funded stop-loss and fully insured group health products to employers; medicare supplement, ancillary products, and short-term medical insurance to individuals through independent agents, owned agencies, benefits brokers, and Allstate exclusive agents. Further, it offers automotive protection; vehicle service contracts, guaranteed asset protection, road hazard tires and wheels, and paintless dent repair protection; and roadside assistance, mobility data collection services, and analytic solutions using automotive telematics information, identity theft protection, and remediation services. The Allstate Corporation was founded in 1931 and is headquartered in Northbrook, Illinois."
Website,https://www.allstate.com
Full Time Employees,55000
Currency,USD
Previous Close,205.27
Open,205.63
Bid,208.0
Ask,208.5
Day's Range,204.7 - 209.14
52 Week Range,156.66 - 212.91
Volume,1105282
Avg. Volume,1859079
Market Cap (intraday),55362850816
Beta (5Y Monthly),0.316
PE Ratio (TTM),14.289815
EPS (TTM),14.63
Earnings Date,1753905600
Forward Dividend & Yield,4.0 (1.91)
Ex-Dividend Date,1741564800
1y Target Est,227.4706
