Attribute,Value
Symbol,LLY
Name,Eli Lilly and Company
Industry,Drug Manufacturers - General
Sector,Healthcare
Country,United States
Market Cap,679936262144
Description,"Eli Lilly and Company discovers, develops, and markets human pharmaceuticals in the United States, Europe, China, Japan, and internationally. The company offers Basaglar, Humalog, Humalog Mix 75/25, Humalog U-100, Humalog U-200, Humalog Mix 50/50, insulin lispro, insulin lispro protamine, insulin lispro mix 75/25, Humulin, Humulin 70/30, Humulin N, Humulin R, and Humulin U-500 for diabetes; Jardiance, Mounjaro, and Trulicity for type 2 diabetes; and Zepbound for obesity. It also provides oncology products, including Alimta, Cyramza, Erbitux, Jaypirca, Retevmo, Tyvyt, and Verzenio. In addition, the company offers Olumiant for rheumatoid arthritis, atopic dermatitis, severe alopecia areata, and COVID-19; Taltz for plaque psoriasis, psoriatic arthritis, ankylosing spondylitis, and non-radiographic axial spondylarthritis; Omvoh for ulcerative colitis; Cymbalta for depressive disorder, diabetic peripheral neuropathic pain, generalized anxiety disorder, fibromyalgia, and chronic musculoskeletal pain; Ebglyss for severe atopic dermatitis; and Emgality for migraine prevention and episodic cluster headache. It has collaborations with Incyte Corporation; Boehringer Ingelheim Pharmaceuticals, Inc.; F. Hoffmann-La Roche Ltd and Genentech, Inc.; Biologics, Inc., AbCellera Biologics Inc.; Verge Genomics; collaboration with AdvanCell to advance novel targeted alpha therapies for the treatment of cancer; and Chugai Pharmaceutical Co., Ltd. Eli Lilly and Company was founded in 1876 and is headquartered in Indianapolis, Indiana."
Website,https://www.lilly.com
Full Time Employees,47000
Currency,USD
Previous Close,731.79
Open,740.0
Bid,745.0
Ask,751.0
Day's Range,738.0825 - 758.8699
52 Week Range,677.09 - 972.53
Volume,4625173
Avg. Volume,4175209
Market Cap (intraday),679936262144
Beta (5Y Monthly),0.472
PE Ratio (TTM),61.726974
EPS (TTM),12.27
Earnings Date,1754569800
Forward Dividend & Yield,6.0 (0.79)
Ex-Dividend Date,1747353600
1y Target Est,966.9337
