Attribute,Value
Symbol,HD
Name,"Home Depot, Inc. (The)"
Industry,Home Improvement Retail
Sector,Consumer Cyclical
Country,United States
Market Cap,378467909632
Description,"The Home Depot, Inc. operates as a home improvement retailer in the United States and internationally. It sells various building materials, home improvement products, lawn and garden products, and décor products, as well as facilities maintenance, repair, and operations products. The company also offers installation services for flooring, water heaters, baths, garage doors, cabinets, cabinet makeovers, countertops, sheds, furnaces and central air systems, and windows. In addition, it provides tool and equipment rental services. The company serves consumers, such as do-it-yourself homeowners and do-it-for-me customers; and professional renovators/remodelers, general contractors, small to medium homebuilders, maintenance professionals, handymen, property managers, building service contractors and specialty tradespeople, such as electricians, landscapers, plumbers, painters, pool contractors, and roofers. It sells its products through websites and its mobile applications, including homedepot.com; homedepot.ca and homedepot.com.mx; blinds.com, justblinds.com, and americanblinds.com for custom window coverings; thecompanystore.com, an online site for textiles and décor products; hdsupply.com for maintenance, repair, and operations products and related services; and srsdistribution.com, heritagelandscapesupplygroup.com, and heritagepoolsupplygroup.com for roofing and building materials, landscape, and pool products; and The Home Depot stores. The Home Depot, Inc. was incorporated in 1978 and is headquartered in Atlanta, Georgia."
Website,https://www.homedepot.com
Full Time Employees,470100
Currency,USD
Previous Close,378.63
Open,380.23
Bid,377.36
Ask,379.6
Day's Range,378.1497 - 381.17
52 Week Range,323.77 - 439.37
Volume,3074291
Avg. Volume,3811303
Market Cap (intraday),378467909632
Beta (5Y Monthly),1.056
PE Ratio (TTM),25.504353
EPS (TTM),14.93
Earnings Date,1747744200
Forward Dividend & Yield,9.2 (2.42)
Ex-Dividend Date,1741824000
1y Target Est,418.7039
