Attribute,Value
Symbol,GILD
Name,"Gilead Sciences, Inc."
Industry,Drug Manufacturers - General
Sector,Healthcare
Country,United States
Market Cap,127502819328
Description,"Gilead Sciences, Inc., a biopharmaceutical company, discovers, develops, and commercializes medicines in the areas of unmet medical need in the United States, Europe, and internationally. The company provides Biktarvy, Genvoya, Descovy, Odefsey, Truvada, Complera/ Eviplera, Stribild, Sunlencs, and Atripla products for the treatment of HIV/AIDS; Veklury, an injection for intravenous use, for the treatment of COVID-19; and Epclusa, Harvoni, Vemlidy, and Viread for the treatment of viral hepatitis. It also offers Yescarta, Tecartus, and Trodelvy products for the treatment of oncology; Letairis, an oral formulation for the treatment of pulmonary arterial hypertension; and AmBisome, a liposomal formulation for the treatment of serious invasive fungal infections. The company has collaboration agreements with Arcus Biosciences, Inc.; Merck Sharp & Dohme Corp.; Pionyr Immunotherapeutics Inc.; Tizona Therapeutics, Inc.; Galapagos NV; Janssen Sciences Ireland Unlimited Company; Japan Tobacco, Inc.; Dragonfly Therapeutics, Inc.; Arcellx, Inc.; Everest Medicines; Merck & Co, Inc.; Tentarix Biotherapeutics Inc.; Marengo Therapeutics; and Assembly Biosciences, Inc. It also has research collaboration, option, and license agreement with Merus N.V. for the discovery of novel dual tumor-associated antigens (TAA) targeting trispecific antibodies. The company has a collaboration with Terray Therapeutics, Inc. to discover and develop small molecule therapies; and LEO Pharma to develop, manufacture, and commercialize the small molecule oral STAT6 program. The company was incorporated in 1987 and is headquartered in Foster City, California."
Website,https://www.gilead.com
Full Time Employees,17600
Currency,USD
Previous Close,100.34
Open,100.67
Bid,97.23
Ask,106.4
Day's Range,100.23 - 102.55
52 Week Range,62.07 - 119.96
Volume,6355932
Avg. Volume,9836879
Market Cap (intraday),127502819328
Beta (5Y Monthly),0.282
PE Ratio (TTM),21.533613
EPS (TTM),4.76
Earnings Date,1745524920
Forward Dividend & Yield,3.16 (3.08)
Ex-Dividend Date,1749772800
1y Target Est,115.03769
