Attribute,Value
Symbol,MPWR
Name,"Monolithic Power Systems, Inc."
Industry,Semiconductors
Sector,Technology
Country,United States
Market Cap,34253352960
Description,"Monolithic Power Systems, Inc. designs, develops, markets, and sells semiconductor-based power electronics solutions for the storage and computing, automotive, enterprise data, consumer, communications, and industrial markets. The company provides direct current (DC) to DC integrated circuits (ICs) that are used to convert and control voltages of various electronic systems, such as cloud-based and on-premises CPU servers, server artificial intelligence applications, storage applications, notebooks, infotainment, workstation applications, power sources, home appliances, and network infrastructure and satellite communications applications. It also offers alternating current to DC, driver metal-oxide-semiconductor field-effect transistor, power management ICs, current limit switch, and lighting control products. The company sells its products through third-party distributors, value-added resellers, end customers and other resellers, original design manufacturers, and original equipment manufacturers. It has operations in China, Taiwan, South Korea, Europe, Southeast Asia, Japan, the United States, and internationally. Monolithic Power Systems, Inc. was incorporated in 1997 and is headquartered in Kirkland, Washington."
Website,https://www.monolithicpower.com
Full Time Employees,4017
Currency,USD
Previous Close,710.32
Open,712.75
Bid,712.97
Ask,717.09
Day's Range,696.4548 - 716.71
52 Week Range,438.86 - 959.64
Volume,361971
Avg. Volume,990701
Market Cap (intraday),34253352960
Beta (5Y Monthly),1.18
PE Ratio (TTM),19.082422
EPS (TTM),37.49
Earnings Date,1746129713
Forward Dividend & Yield,6.24 (0.87)
Ex-Dividend Date,1743379200
1y Target Est,754.5957
