Attribute,Value
Symbol,PANW
Name,"Palo Alto Networks, Inc."
Industry,Software - Infrastructure
Sector,Technology
Country,United States
Market Cap,127772049408
Description,"Palo Alto Networks, Inc. provides cybersecurity solutions worldwide. The company's network security platforms include Prisma Access, a security services edge (SSE) solution, as well as Strata Cloud Manager, a network security management solution. It also provides cloud security solutions, including Prisma Cloud, a cloud native application protection platform; and Code to Cloud platform, as well as offers VM-Series and CN-Series virtual firewalls for inline network security on multi- and hybrid-cloud environments. In addition, the company provides security operation solutions through Cortex platform that includes Cortex XSIAM, an AI-driven security operations platform; Cortex XDR for the prevention, detection, and response to complex cybersecurity attacks; and Cortex XSOAR for security orchestration, automation, and response; and Cortex Xpanse for attack surface management, as well as offers threat intelligence and advisory services under the Unit 42 name. Further, it provides subscription services covering the areas of threat prevention, malware and persistent threat, URL filtering, laptop and mobile device protection, DNS security, Internet of Things security, SaaS security API, and SaaS security inline, as well as threat intelligence, and data loss prevention. Additionally, the company offers professional services, including architecture design and planning, implementation, configuration, and firewall migration; education services, such as certifications, as well as online and in-classroom training; and support services. It sells its products and services through its channel partners, as well as directly to medium to large enterprises, service providers, and government entities operating in various industries, including education, energy, financial services, government entities, healthcare, Internet and media, manufacturing, public sector, and telecommunications. The company was incorporated in 2005 and is headquartered in Santa Clara, California."
Website,https://www.paloaltonetworks.com
Full Time Employees,15758
Currency,USD
Previous Close,192.9
Open,192.7321
Bid,192.8
Ask,193.17
Day's Range,190.91 - 193.7906
52 Week Range,142.01 - 208.39
Volume,4148431
Avg. Volume,5193492
Market Cap (intraday),127772049408
Beta (5Y Monthly),1.024
PE Ratio (TTM),108.41573
EPS (TTM),1.78
Earnings Date,1747771200
Forward Dividend & Yield,
Ex-Dividend Date,
1y Target Est,212.0015
