Attribute,Value
Symbol,AON
Name,Aon plc
Industry,Insurance Brokers
Sector,Financial Services
Country,Ireland
Market Cap,78153007104
Description,"Aon plc, a professional services firm, provides a range of risk and human capital solutions worldwide. It offers commercial risk solutions, including retail brokerage, specialty solutions, global risk consulting and captive management, and affinity programs; and health solutions, such as consulting and brokerage, consumer benefit, and talent advisory services. The company also provides insurance-linked securities, capital raising, strategic advice, restructuring, and merger and acquisition services; and risk management products and services, capital market solutions, and corporate finance advisory services. In addition, the company offers treaty and facultative reinsurance services; strategic design advice and actuarial services; and investment advisory services on developing and maintaining investment programs across various plan types, including defined benefit plans, defined contribution plans, and trusts for corporations, public pensions, endowments, and foundations. The company was founded in 1919 and is headquartered in Dublin, Ireland."
Website,https://www.aon.com
Full Time Employees,60000
Currency,USD
Previous Close,358.59
Open,358.53
Bid,341.45
Ask,361.6
Day's Range,357.7 - 362.27
52 Week Range,275.07 - 412.97
Volume,1096937
Avg. Volume,1477268
Market Cap (intraday),78153007104
Beta (5Y Monthly),0.89
PE Ratio (TTM),31.253887
EPS (TTM),11.58
Earnings Date,1745575200
Forward Dividend & Yield,2.98 (0.82)
Ex-Dividend Date,1746057600
1y Target Est,395.6521
