Attribute,Value
Symbol,ZBH
Name,"Zimmer Biomet Holdings, Inc."
Industry,Medical Devices
Sector,Healthcare
Country,United States
Market Cap,19181363200
Description,"Zimmer Biomet Holdings, Inc., together with its subsidiaries, operates as a medical technology company worldwide. The company designs, manufactures, and markets orthopedic reconstructive products, such as knee and hip products; S.E.T. products, including sports medicine, biologics, foot and ankle, extremities, and trauma products; craniomaxillofacial and thoracic products comprising face and skull reconstruction products, as well as products that fixate and stabilize the bones of the chest to facilitate healing or reconstruction after open heart surgery, trauma, or for deformities of the chest. It offers technology and data, bone cement, and surgical products. The company's products and solutions are used to treat patients suffering from disorders of, or injuries to, bones, joints, or supporting soft tissues. It serves orthopedic surgeons, neurosurgeons, hospitals, stocking distributors, healthcare dealers, and other specialists, as well as agents, healthcare purchasing organizations, or buying groups. The company was formerly known as Zimmer Holdings, Inc. and changed its name to Zimmer Biomet Holdings, Inc. in June 2015. Zimmer Biomet Holdings, Inc. was founded in 1927 and is headquartered in Warsaw, Indiana."
Website,https://www.zimmerbiomet.com
Full Time Employees,17000
Currency,USD
Previous Close,96.73
Open,97.1
Bid,91.23
Ask,98.57
Day's Range,96.36 - 97.56
52 Week Range,89.92 - 120.13
Volume,2338874
Avg. Volume,2245066
Market Cap (intraday),19181363200
Beta (5Y Monthly),0.781
PE Ratio (TTM),21.544443
EPS (TTM),4.5
Earnings Date,1746441000
Forward Dividend & Yield,0.96 (0.99)
Ex-Dividend Date,1743379200
1y Target Est,108.61962
