Attribute,Value
Symbol,TMUS
Name,"T-Mobile US, Inc."
Industry,Telecom Services
Sector,Communication Services
Country,United States
Market Cap,275528286208
Description,"T-Mobile US, Inc., together with its subsidiaries, provides wireless communications services in the United States, Puerto Rico, and the United States Virgin Islands. The company offers voice, messaging, and data services to postpaid, prepaid, and wholesale and other services customers. It also provides wireless devices, including smartphones, wearables, tablets, home broadband routers, and other mobile communication devices, as well as accessories; financing through equipment installment plans; reinsurance for device insurance policies and extended warranty contracts; and high-speed internet services. The company offers services, devices, and accessories under the T-Mobile, Metro by T-Mobile, and Mint Mobile brands through its owned and operated retail stores, customer care channels, national retailers, and its websites, as well as through T-Mobile, Metro by T-Mobile, and Mint Mobile apps. It also sells devices to dealers and other third-party distributors for resale through independent third-party retail outlets and various third-party websites. The company was founded in 1994 and is headquartered in Bellevue, Washington. T-Mobile US, Inc. is a subsidiary of Deutsche Telekom AG."
Website,https://www.t-mobile.com
Full Time Employees,70000
Currency,USD
Previous Close,240.16
Open,240.52
Bid,242.58
Ask,252.98
Day's Range,238.635 - 243.32
52 Week Range,163.15 - 276.49
Volume,4343981
Avg. Volume,4445219
Market Cap (intraday),275528286208
Beta (5Y Monthly),0.681
PE Ratio (TTM),23.697266
EPS (TTM),10.24
Earnings Date,1745524800
Forward Dividend & Yield,3.52 (1.45)
Ex-Dividend Date,1748563200
1y Target Est,269.5731
