Attribute,Value
Symbol,PLD
Name,"Prologis, Inc."
Industry,REIT - Industrial
Sector,Real Estate
Country,United States
Market Cap,102582222848
Description,"Prologis, Inc., is the global leader in logistics real estate with a focus on high-barrier, high-growth markets. At March 31, 2025, the company owned or had investments in, on a wholly owned basis or through co-investment ventures, properties and development projects expected to total approximately 1.3 billion square feet (120 million square meters) in 20 countries. Prologis leases modern logistics facilities to a diverse base of approximately 6,500 customers principally across two major categories: business-to-business and retail/online fulfillment."
Website,https://www.prologis.com
Full Time Employees,2703
Currency,USD
Previous Close,109.23
Open,109.34
Bid,110.35
Ask,111.28
Day's Range,108.76 - 110.63
52 Week Range,85.35 - 132.57
Volume,2768360
Avg. Volume,5241084
Market Cap (intraday),102582222848
Beta (5Y Monthly),1.268
PE Ratio (TTM),27.568577
EPS (TTM),4.01
Earnings Date,1744804809
Forward Dividend & Yield,4.04 (3.65)
Ex-Dividend Date,1750118400
1y Target Est,118.4
