Attribute,Value
Symbol,EQR
Name,Equity Residential
Industry,REIT - Residential
Sector,Real Estate
Country,United States
Market Cap,28023468032
Description,"Equity Residential is committed to creating communities where people thrive. The Company, a member of the S&P 500, is focused on the acquisition, development and management of residential properties located in and around dynamic cities that attract affluent long-term renters. Equity Residential owns or has investments in 312 properties consisting of 84,648 apartment units, with an established presence in Boston, New York, Washington, D.C., Seattle, San Francisco and Southern California, and an expanding presence in Denver, Atlanta, Dallas/Ft. Worth and Austin."
Website,https://www.equityapartments.com
Full Time Employees,2500
Currency,USD
Previous Close,70.86
Open,71.09
Bid,71.78
Ask,71.2
Day's Range,70.68 - 71.8
52 Week Range,59.41 - 78.83
Volume,5064436
Avg. Volume,1972401
Market Cap (intraday),28023468032
Beta (5Y Monthly),0.91
PE Ratio (TTM),27.312977
EPS (TTM),2.62
Earnings Date,1745957700
Forward Dividend & Yield,2.77 (3.87)
Ex-Dividend Date,1743379200
1y Target Est,77.83333
