Attribute,Value
Symbol,PGR
Name,Progressive Corporation (The)
Industry,Insurance - Property & Casualty
Sector,Financial Services
Country,United States
Market Cap,167677657088
Description,"The Progressive Corporation operates as an insurance company in the United States. The company writes insurance for personal autos and special lines products, including motorcycles, RVs, and watercraft; and personal residential property insurance for homeowners and renters. It also writes auto-related liability and physical damage insurance for comprising dump trucks, log trucks, garbage trucks, tractors, trailers, straight trucks, tow trucks and wreckers, vans, pick-up trucks, and autos; business-related general liability and commercial property insurance for small businesses; and workers' compensation insurance for the transportation industry. In addition, the company offers other specialty property-casualty insurance and provide related services; personal property reinsurance products; and involved in investment activities. It sells its products through independent insurance agencies, as well as online and over the phone. The Progressive Corporation was founded in 1937 and is headquartered in Mayfield Village, Ohio."
Website,https://www.progressive.com
Full Time Employees,66308
Currency,USD
Previous Close,281.15
Open,280.845
Bid,273.5
Ask,285.53
Day's Range,280.83 - 286.11
52 Week Range,201.34 - 292.99
Volume,2779493
Avg. Volume,3301242
Market Cap (intraday),167677657088
Beta (5Y Monthly),0.404
PE Ratio (TTM),19.30027
EPS (TTM),14.82
Earnings Date,1747825140
Forward Dividend & Yield,4.9 (1.71)
Ex-Dividend Date,1751500800
1y Target Est,294.29413
