Attribute,Value
Symbol,MCK
Name,McKesson Corporation
Industry,Medical Distribution
Sector,Healthcare
Country,United States
Market Cap,90522501120
Description,"McKesson Corporation provides healthcare services in the United States and internationally. It operates through four segments: U.S. Pharmaceutical, Prescription Technology Solutions (RxTS), Medical-Surgical Solutions, and International. The U.S. Pharmaceutical segment distributes branded, generic, specialty, biosimilar and over-the-counter pharmaceutical drugs, and other healthcare-related products. This segment also provides practice management, technology, clinical support, and business solutions to community-based oncology and other specialty practices; and consulting, outsourcing, technological, and other services, as well as sells financial, operational, and clinical solutions to pharmacies. The RxTS segment serves biopharma and life sciences partners to address challenges for patients by working across healthcare to connect patients, pharmacies, providers, pharmacy benefit managers, health plans, and biopharma companies to deliver solutions to help people get the medicine needed to live healthier lives; and provides medication access and affordability, prescription decision support, prescription price transparency, benefit insight, dispensing support, third-party logistics, and wholesale distribution support services, as well as electronic prior authorization services. The Medical-Surgical Solutions segment offers medical-surgical supply distribution, logistics, biomedical maintenance, and other services to healthcare providers, including physician offices, surgery centers, nursing homes, post-acute care facilities, hospital reference labs, and home health care agencies. The International segment delivers deliver medicines, supplies, and information technology solutions to retail pharmacies, hospitals, long-term care centers, clinics and institutions; and provides logistics and distribution services for manufacturers. McKesson Corporation was founded in 1833 and is headquartered in Irving, Texas."
Website,https://www.mckesson.com
Full Time Employees,44000
Currency,USD
Previous Close,706.76
Open,708.53
Bid,722.07
Ask,724.97
Day's Range,706.76 - 724.34
52 Week Range,464.42 - 728.48
Volume,1087953
Avg. Volume,1083776
Market Cap (intraday),90522501120
Beta (5Y Monthly),0.522
PE Ratio (TTM),28.167252
EPS (TTM),25.71
Earnings Date,1746734400
Forward Dividend & Yield,2.84 (0.39)
Ex-Dividend Date,1748822400
1y Target Est,744.57935
