Attribute,Value
Symbol,AIG
Name,"American International Group, I"
Industry,Insurance - Diversified
Sector,Financial Services
Country,United States
Market Cap,48601907200
Description,"American International Group, Inc. offers insurance products for commercial, institutional, and individual customers in North America and internationally. It operates through three segments: North America Commercial; International Commercial; and Global Personal. The company provides commercial and industrial property insurance, including business interruption and package insurance that cover exposure to made and natural disasters; general liability, environmental, commercial automobile liability, workers' compensation, excess casualty, and crisis management insurance products; and professional liability insurance. It also offers marine, energy-related property insurance, aviation, political risk, trade credit, trade finance, and portfolio solutions; voluntary and sponsor-paid personal accident, and supplemental health products; and personal auto and homeowners, extended warranty, device protection insurance, home warranty and related services, and insurance for high net-worth individuals. Further, the company provides mortgage and other loans receivable includes commercial mortgages, life insurance policy loans, and commercial loans, The company was founded in 1919 and is headquartered in New York, New York."
Website,https://www.aig.com
Full Time Employees,22200
Currency,USD
Previous Close,83.23
Open,83.26
Bid,83.77
Ask,84.41
Day's Range,83.1578 - 84.36
52 Week Range,69.0 - 88.07
Volume,2544872
Avg. Volume,5269752
Market Cap (intraday),48601907200
Beta (5Y Monthly),0.7
PE Ratio (TTM),20.568295
EPS (TTM),4.1
Earnings Date,1746130560
Forward Dividend & Yield,1.8 (2.13)
Ex-Dividend Date,1749772800
1y Target Est,88.60118
