Attribute,Value
Symbol,L
Name,Loews Corporation
Industry,Insurance - Property & Casualty
Sector,Financial Services
Country,United States
Market Cap,18744813568
Description,"Loews Corporation, through its subsidiaries, provides commercial property and casualty insurance in the United States and internationally. The company offers specialty insurance products, such as management and professional liability, and other coverage products; surety and fidelity bonds; professional liability coverages and risk management services to various professional firms, including architects, real estate agents, and accounting and law firms; standard and excess property, marine and boiler and machinery coverages, workers' compensation, general and product liability, commercial auto, umbrella, and excess and surplus coverages, and specialized loss-sensitive insurance programs and total risk management services relating to claim and information services; directors and officers, errors and omissions, employment practices, fiduciary, fidelity, and cyber coverages, as well as for small and mid-size firms, public and privately held firms, and not-for-profit organizations; and insurance products to serve the health care industry, including professional and general liability, as well as associated casualty coverage to aging services, allied medical facilities, dentists, physicians, nurses, and other medical practitioners. It also provides warranty and alternative risk and run-off long-term care insurance products. The company markets its insurance products and services through independent agents, brokers, and managing general underwriters. In addition, it engages in the transportation and storage of natural gas and natural gas liquids; and provision of ethane supply and transportation services for industrial customers in Louisiana and Texas, as well as operates a chain of 25 hotels. Further, the company develops, manufactures, and markets a range of extrusion blow-molded and injection molded plastic containers, as well as manufactures commodity and differentiated plastic resins. Loews Corporation was incorporated in 1969 and is headquartered in New York, New York."
Website,https://www.loews.com
Full Time Employees,13000
Currency,USD
Previous Close,88.81
Open,88.74
Bid,89.38
Ask,89.45
Day's Range,88.4 - 89.48
52 Week Range,73.15 - 92.42
Volume,692951
Avg. Volume,788936
Market Cap (intraday),18744813568
Beta (5Y Monthly),0.695
PE Ratio (TTM),14.6540985
EPS (TTM),6.1
Earnings Date,1746451800
Forward Dividend & Yield,0.25 (0.28)
Ex-Dividend Date,1748390400
1y Target Est,
